
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2010

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2010;  7;21;34;38;43;47; 8;5;(2/4);'10122';(2/4);
29-12-2010;  6; 7;19;39;43;49;34;8;(1/5);'21012';(3/3);
28-12-2010; 14;20;29;30;31;44;34;4;(4/2);'01221';(2/4);
27-12-2010; 13;14;24;33;39;47;31;0;(2/4);'02121';(3/3);
24-12-2010; 11;13;17;24;28;35; 6;9;(2/4);'03210';(4/2);
22-12-2010;  5;10;14;18;33;48;47;3;(4/2);'13011';(4/2);
21-12-2010; 15;21;29;45;47;48;34;6;(1/5);'01203';(2/4);
20-12-2010; 10;11;25;26;44;49; 7;6;(3/3);'02202';(3/3);
17-12-2010; 13;22;24;27;32;39; 5;9;(3/3);'01320';(3/3);
15-12-2010; 10;19;29;34;44;49;22;9;(3/3);'02112';(2/4);
14-12-2010;  2;10;14;28;32;46;41;6;(6/0);'12111';(3/3);
13-12-2010;  1; 2; 6; 8;32;40; 9;1;(5/1);'40011';(4/2);
10-12-2010;  5;12;14;15;28;41;37;7;(3/3);'13101';(4/2);
 8-12-2010;  8;12;34;37;41;47;24;1;(3/3);'11022';(2/4);
 7-12-2010;  5;14;15;17;40;47;21;1;(2/4);'13002';(4/2);
 6-12-2010; 19;20;22;28;29;40; 3;4;(4/2);'01401';(3/3);
 3-12-2010;  2; 8;10;11;35;40;27;8;(4/2);'22011';(4/2);
 1-12-2010; 14;16;18;30;36;45; 6;7;(5/1);'03021';(3/3);
30-11-2010; 10;11;19;21;48;49;20;5;(2/4);'03102';(4/2);
29-11-2010;  3; 4;10;13;20;48;30;6;(4/2);'22101';(5/1);
26-11-2010; 18;22;25;36;42;47;29;7;(4/2);'01212';(3/3);
24-11-2010;  2; 3; 5;29;31;35;18;8;(1/5);'30120';(3/3);
23-11-2010; 10;14;25;26;28;39;19;5;(4/2);'02310';(3/3);
22-11-2010; 12;18;20;30;46;49; 3;4;(5/1);'02112';(3/3);
19-11-2010;  3;10;17;25;38;46;44;3;(3/3);'12111';(4/2);
17-11-2010; 32;33;40;43;45;46;11;0;(3/3);'00024';(0/6);
16-11-2010; 22;28;35;40;44;48;24;7;(5/1);'00213';(1/5);
15-11-2010;  4;12;13;19;25;27;10;9;(2/4);'13200';(5/1);
12-11-2010;  8;18;27;35;38;49;20;0;(3/3);'11121';(2/4);
10-11-2010;  1; 2;11;14;45;48;32;7;(3/3);'22002';(4/2);
 9-11-2010;  9;27;29;32;38;44;42;0;(3/3);'10221';(1/5);
 8-11-2010; 14;15;22;36;39;41;20;8;(3/3);'02121';(3/3);
 5-11-2010;  6;22;25;38;46;47; 8;0;(4/2);'10212';(3/3);
 3-11-2010;  7;17;40;41;43;49; 6;2;(1/5);'11004';(2/4);
 2-11-2010; 10;20;32;36;41;49;23;0;(4/2);'01122';(2/4);
 1-11-2010;  5;22;24;31;33;34; 2;0;(3/3);'10230';(3/3);
29-10-2010;  5;28;36;40;44;49;15;2;(4/2);'10113';(1/5);
27-10-2010;  6;19;22;26;35;38;32;2;(4/2);'11220';(3/3);
26-10-2010; 15;16;26;43;44;49;48;8;(3/3);'02103';(2/4);
25-10-2010;  7;18;34;37;39;44;20;2;(3/3);'11031';(2/4);
22-10-2010;  2;10;17;25;27;30;28;6;(3/3);'12210';(4/2);
20-10-2010;  4;21;34;35;41;47;16;4;(2/4);'10122';(2/4);
19-10-2010; 18;25;37;40;42;44;34;7;(4/2);'01113';(2/4);
18-10-2010; 12;13;19;35;39;46; 8;0;(2/4);'03021';(3/3);
15-10-2010;  8;12;17;18;38;49;14;9;(4/2);'13011';(4/2);
13-10-2010;  1; 5; 9;21;22;45; 2;9;(1/5);'30201';(5/1);
12-10-2010;  1;19;20;22;24;32;14;8;(4/2);'11310';(5/1);
11-10-2010;  8;18;29;30;31;33;13;9;(3/3);'11130';(2/4);
 8-10-2010;  7;20;28;40;42;48;13;6;(5/1);'10203';(2/4);
 6-10-2010;  3;27;29;33;41;48;17;7;(1/5);'10212';(1/5);
 5-10-2010; 17;19;23;36;44;46; 6;9;(3/3);'02112';(3/3);
 4-10-2010; 13;26;35;42;45;46;24;1;(3/3);'01113';(1/5);
 1-10-2010; 13;17;26;38;42;49;30;6;(3/3);'02112';(2/4);
29-09-2010;  3; 5; 7;10;26;32;12;2;(3/3);'31110';(4/2);
28-09-2010; 18;25;26;29;34;35; 7;3;(3/3);'01320';(2/4);
27-09-2010; 19;21;31;37;39;45; 6;2;(0/6);'01131';(2/4);
24-09-2010; 11;14;18;30;33;39;19;3;(3/3);'03030';(3/3);
22-09-2010; 10;12;15;32;37;44; 1;9;(4/2);'03021';(3/3);
21-09-2010;  3; 9;30;32;38;43;21;3;(3/3);'20031';(2/4);
20-09-2010;  4;11;21;23;28;36;12;8;(3/3);'11310';(4/2);
17-09-2010;  8;25;28;35;39;41;26;2;(2/4);'10221';(2/4);
15-09-2010;  3;13;17;23;28;35; 6;3;(1/5);'12210';(4/2);
14-09-2010;  2;17;23;24;34;49;45;7;(3/3);'11211';(4/2);
13-09-2010;  7; 9;23;33;38;40;39;3;(2/4);'20121';(3/3);
10-09-2010; 13;15;32;33;37;45;10;8;(1/5);'02031';(2/4);
 8-09-2010;  2; 5;14;21;42;43;34;2;(3/3);'21102';(4/2);
 7-09-2010;  5;10;21;25;27;31; 1;2;(1/5);'11310';(4/2);
 6-09-2010; 10;17;19;20;26;41;38;4;(3/3);'03201';(4/2);
 3-09-2010;  7;20;21;24;36;42;46;4;(4/2);'10311';(4/2);
 1-09-2010;  5;21;23;38;46;49;20;2;(2/4);'10212';(3/3);
31-08-2010;  8;16;19;20;37;38;34;2;(4/2);'12120';(4/2);
30-08-2010;  9;10;14;23;25;39; 4;1;(2/4);'12210';(5/1);
27-08-2010;  6; 9;32;34;42;44;36;5;(5/1);'20022';(2/4);
25-08-2010;  9;19;31;40;43;49;18;8;(1/5);'11013';(2/4);
24-08-2010; 18;22;25;28;30;36;19;4;(5/1);'01320';(3/3);
23-08-2010;  1; 4;13;29;34;46; 5;7;(3/3);'21111';(3/3);
20-08-2010;  8;10;11;29;34;47;12;0;(3/3);'12111';(3/3);
18-08-2010; 14;16;18;30;41;43; 4;4;(4/2);'03012';(3/3);
17-08-2010;  2;11;30;32;33;39;40;7;(3/3);'11040';(2/4);
16-08-2010; 11;13;21;26;36;37;46;9;(2/4);'02220';(3/3);
13-08-2010;  2; 4;19;22;26;48;28;6;(5/1);'21201';(4/2);
11-08-2010; 20;26;27;28;38;49;12;6;(4/2);'00411';(1/5);
10-08-2010; 14;17;24;26;34;40; 1;7;(5/1);'02211';(3/3);
 9-08-2010; 25;26;37;39;41;49;19;5;(1/5);'00222';(1/5);
 6-08-2010; 11;28;29;30;44;47; 7;7;(3/3);'01212';(1/5);
 4-08-2010;  6;12;19;27;37;43;11;6;(2/4);'12111';(3/3);
 3-08-2010;  3; 9;13;38;41;44;12;4;(2/4);'21012';(3/3);
 2-08-2010;  8;11;15;24;37;39;40;2;(2/4);'12120';(4/2);
30-07-2010;  3;12;32;33;36;48;28;0;(4/2);'11031';(2/4);
28-07-2010;  1;15;23;25;31;43;34;3;(0/6);'11211';(4/2);
27-07-2010;  6; 7;20;38;42;48;25;0;(5/1);'20112';(3/3);
26-07-2010;  5;19;25;26;30;46;44;1;(3/3);'11211';(3/3);
23-07-2010;  5;11;15;16;39;41; 3;2;(1/5);'13011';(4/2);
21-07-2010; 10;24;32;37;41;48;29;8;(4/2);'01122';(2/4);
20-07-2010;  3;22;32;34;39;45;30;8;(3/3);'10131';(2/4);
19-07-2010;  8;10;16;37;39;47;46;1;(3/3);'12021';(3/3);
16-07-2010;  1; 6;21;24;27;38;34;0;(3/3);'20310';(4/2);
14-07-2010;  6;23;30;32;34;44;26;9;(5/1);'10131';(2/4);
13-07-2010;  4; 8;37;38;40;46; 1;2;(5/1);'20022';(2/4);
12-07-2010; 16;21;33;34;43;49;42;9;(2/4);'01122';(2/4);
 9-07-2010;  7;11;17;25;36;45;23;5;(1/5);'12111';(4/2);
 7-07-2010;  3; 8;28;29;31;49;11;3;(2/4);'20211';(2/4);
 6-07-2010;  4;13;24;31;38;46;37;0;(4/2);'11121';(3/3);
 5-07-2010;  4;16;20;40;43;44;10;9;(5/1);'11103';(3/3);
 2-07-2010;  8;23;27;29;31;47;26;4;(1/5);'10311';(2/4);
30-06-2010; 17;24;25;26;27;38; 1;6;(3/3);'01410';(3/3);
29-06-2010; 10;18;19;22;26;34; 4;7;(5/1);'03210';(4/2);
28-06-2010; 19;21;27;33;34;35;28;9;(1/5);'01230';(2/4);
25-06-2010;  9;16;27;31;34;47;36;1;(2/4);'11121';(2/4);
23-06-2010; 11;12;20;32;35;39; 3;5;(3/3);'02130';(3/3);
22-06-2010;  3; 7;13;23;24;38;11;6;(2/4);'21210';(5/1);
21-06-2010; 23;25;36;38;42;43;47;0;(3/3);'00222';(2/4);
18-06-2010;  7;16;19;25;28;36;37;6;(3/3);'12210';(4/2);
16-06-2010;  4;12;15;16;24;25;26;7;(4/2);'13200';(6/0);
15-06-2010;  4;28;29;38;39;45;42;3;(3/3);'10221';(1/5);
14-06-2010;  3;13;23;25;48;49;17;0;(1/5);'11202';(4/2);
11-06-2010;  2;14;19;20;32;36;37;2;(5/1);'12120';(4/2);
 9-06-2010; 14;16;18;21;28;48; 8;2;(5/1);'03201';(4/2);
 8-06-2010;  4;16;17;19;24;33;10;1;(3/3);'13110';(5/1);
 7-06-2010; 18;26;30;31;35;49; 5;0;(3/3);'01131';(1/5);
 4-06-2010;  4;18;23;24;30;46;43;5;(5/1);'11211';(4/2);
 2-06-2010; 12;19;23;27;39;43;22;9;(1/5);'02211';(3/3);
 1-06-2010;  8;18;20;22;41;48;46;0;(5/1);'11202';(4/2);
31-05-2010;  9;16;19;21;30;45;18;7;(2/4);'12111';(4/2);
28-05-2010; 10;14;17;19;20;21;47;7;(3/3);'04200';(6/0);
26-05-2010;  1;17;30;39;40;42;45;9;(3/3);'11022';(2/4);
25-05-2010;  1;11;21;22;39;43;15;6;(1/5);'11211';(4/2);
24-05-2010;  6;26;32;39;40;42;28;7;(5/1);'10122';(1/5);
21-05-2010;  2;10;16;45;47;49;20;0;(3/3);'12003';(3/3);
19-05-2010; 10;16;19;21;23;26;43;5;(3/3);'03300';(5/1);
18-05-2010; 15;28;38;40;42;45;34;8;(4/2);'01113';(1/5);
17-05-2010;  8;10;11;21;23;39;12;5;(2/4);'12210';(5/1);
14-05-2010;  7;10;11;17;21;41;42;9;(1/5);'13101';(5/1);
12-05-2010;  9;11;26;29;37;45;28;4;(1/5);'11211';(2/4);
11-05-2010; 17;21;24;33;38;40;31;9;(3/3);'01221';(3/3);
10-05-2010;  5;18;27;28;42;43;12;8;(3/3);'11202';(2/4);
 7-05-2010;  8;17;22;42;46;49; 2;6;(4/2);'11103';(3/3);
 5-05-2010;  1; 4; 8;11;23;35;29;3;(2/4);'31110';(5/1);
 4-05-2010;  2;18;22;27;35;45;20;2;(3/3);'11211';(3/3);
 3-05-2010;  8;21;22;27;37;48;20;6;(3/3);'10311';(3/3);
30-04-2010; 19;23;35;42;47;49;34;1;(1/5);'01113';(2/4);
28-04-2010; 12;20;28;36;37;40;46;0;(5/1);'01221';(2/4);
27-04-2010;  4; 5; 7;36;40;44;48;1;(4/2);'30012';(3/3);
26-04-2010; 11;19;30;31;40;47;45;7;(2/4);'02022';(2/4);
23-04-2010;  7;15;16;24;28;35;31;2;(3/3);'12210';(4/2);
21-04-2010; 16;22;27;33;44;48; 4;8;(4/2);'01212';(2/4);
20-04-2010;  8;13;14;35;38;43;16;0;(3/3);'12021';(3/3);
19-04-2010;  4; 6;15;33;43;46;32;3;(3/3);'21012';(3/3);
16-04-2010;  4; 5;10;24;33;47;40;2;(3/3);'21111';(4/2);
14-04-2010; 22;30;32;34;40;45;25;9;(5/1);'00132';(1/5);
13-04-2010;  6;10;15;27;38;45;47;3;(3/3);'12111';(3/3);
12-04-2010;  5; 7;17;24;32;38;20;8;(3/3);'21120';(4/2);
 9-04-2010;  5; 7;12;19;25;30; 9;5;(2/4);'22110';(5/1);
 7-04-2010;  7;14;25;28;40;44;24;4;(4/2);'11202';(3/3);
 6-04-2010; 11;21;37;44;45;48;46;3;(2/4);'01113';(2/4);
 5-04-2010;  6; 7;10;20;42;49;28;6;(4/2);'21102';(4/2);
 2-04-2010;  2;18;25;30;44;48;43;8;(5/1);'11112';(3/3);
31-03-2010; 16;21;22;27;34;42;19;0;(4/2);'01311';(3/3);
30-03-2010; 14;17;19;30;33;38;18;9;(3/3);'03030';(3/3);
29-03-2010;  2; 3; 5;15;43;49;38;8;(1/5);'31002';(4/2);
26-03-2010;  1;12;26;38;42;47;18;6;(4/2);'11112';(2/4);
24-03-2010;  3; 5;20;22;35;37;24;8;(2/4);'20220';(4/2);
23-03-2010;  2;36;38;41;48;49;40;2;(4/2);'10023';(1/5);
22-03-2010; 23;40;41;42;47;48;37;1;(3/3);'00105';(1/5);
19-03-2010;  1; 8;14;20;21;48;17;2;(4/2);'21201';(5/1);
