
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1997

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-1997;  1;13;14;22;27;30;32;2;(3/3);'12210';(4/2);
30-12-1997;  3; 5; 9;16;38;41;40;8;(2/4);'31011';(4/2);
29-12-1997;  3;11;22;33;43;45;40;3;(1/5);'11112';(3/3);
26-12-1997;  8;10;12;21;40;48;25;5;(5/1);'12102';(4/2);
24-12-1997;  4; 9;16;36;38;41;25;9;(4/2);'21021';(3/3);
23-12-1997;  1; 4;20;23;44;46; 2;8;(4/2);'20202';(4/2);
22-12-1997;  7;21;24;25;33;45;42;0;(1/5);'10311';(4/2);
19-12-1997;  4;23;28;29;47;48;34;8;(3/3);'10302';(2/4);
17-12-1997;  9;25;26;30;31;34;37;6;(3/3);'10230';(2/4);
16-12-1997;  1; 4;12;26;38;40;22;3;(5/1);'21111';(3/3);
15-12-1997;  4; 8;14;21;40;47;27;4;(4/2);'21102';(4/2);
12-12-1997; 11;17;26;32;48;49;38;7;(3/3);'02112';(2/4);
10-12-1997;  5; 6;13;36;45;49; 3;2;(2/4);'21012';(3/3);
 9-12-1997;  1;12;16;17;32;37; 8;4;(3/3);'13020';(4/2);
 8-12-1997; 19;24;37;40;41;48;43;9;(3/3);'01113';(2/4);
 5-12-1997;  2;13;25;32;33;48;24;6;(3/3);'11121';(3/3);
 3-12-1997;  8; 9;25;37;43;46; 5;9;(2/4);'20112';(3/3);
 2-12-1997;  6;22;33;38;47;48;35;9;(4/2);'10122';(2/4);
 1-12-1997;  1; 8;17;19;34;43;31;4;(2/4);'22011';(4/2);
28-11-1997;  2; 6; 9;29;35;45;48;9;(2/4);'30111';(3/3);
26-11-1997; 14;17;21;27;28;33;42;1;(2/4);'02310';(3/3);
25-11-1997;  4; 6; 7;12;15;39;40;3;(3/3);'32010';(5/1);
24-11-1997;  1; 4;18;28;36;39;13;2;(4/2);'21120';(3/3);
21-11-1997;  5;24;25;26;30;43;48;1;(3/3);'10311';(3/3);
19-11-1997;  5; 8;25;26;42;45;15;7;(3/3);'20202';(3/3);
18-11-1997; 22;26;27;37;38;45;34;7;(3/3);'00321';(1/5);
17-11-1997;  8;21;26;27;30;38;35;3;(4/2);'10320';(2/4);
14-11-1997;  6; 8; 9;16;25;47; 1;3;(3/3);'31101';(5/1);
12-11-1997;  1;10;14;19;41;46;16;7;(3/3);'13002';(4/2);
11-11-1997;  2; 3;16;19;34;43;24;8;(3/3);'22011';(4/2);
10-11-1997;  6; 8;12;13;23;34;25;9;(4/2);'22110';(5/1);
 7-11-1997;  4; 7;24;30;41;42;29;2;(4/2);'20112';(3/3);
 5-11-1997; 20;26;31;37;45;47;30;5;(2/4);'00222';(1/5);
 4-11-1997;  1;15;26;29;30;46;27;7;(3/3);'11211';(2/4);
 3-11-1997;  3;13;19;20;44;45;39;4;(2/4);'12102';(4/2);
31-10-1997; 22;30;41;44;45;48;13;9;(4/2);'00114';(1/5);
29-10-1997;  3; 4; 7;24;25;46; 5;9;(3/3);'30201';(5/1);
28-10-1997; 16;19;38;40;43;48;14;4;(4/2);'02013';(2/4);
27-10-1997;  1;18;21;33;36;49;37;8;(2/4);'11121';(3/3);
24-10-1997; 10;14;23;32;33;42;21;0;(4/2);'02121';(3/3);
22-10-1997;  2;11;26;30;32;48;23;1;(5/1);'11121';(2/4);
21-10-1997;  8;12;28;42;43;44;35;6;(5/1);'11103';(2/4);
20-10-1997; 20;28;30;35;39;42;13;9;(4/2);'00231';(1/5);
17-10-1997; 12;18;20;23;25;32;14;0;(4/2);'02310';(5/1);
15-10-1997;  6; 9;12;18;26;48; 2;9;(5/1);'22101';(4/2);
14-10-1997;  1;26;28;31;34;42;13;1;(4/2);'10221';(1/5);
13-10-1997;  2;11;28;37;42;44; 5;8;(4/2);'11112';(2/4);
10-10-1997; 17;29;32;34;40;49;35;7;(3/3);'01122';(1/5);
 8-10-1997;  6; 9;11;14;33;42;13;8;(3/3);'22011';(4/2);
 7-10-1997; 10;11;20;28;43;49; 9;5;(3/3);'02202';(3/3);
 6-10-1997; 14;17;39;40;45;47;23;8;(2/4);'02013';(2/4);
 3-10-1997;  5;17;24;37;43;46;33;3;(2/4);'11112';(3/3);
 1-10-1997;  1; 9;10;21;22;44;32;6;(3/3);'21201';(5/1);
30-09-1997; 11;12;14;16;25;39;22;5;(3/3);'04110';(5/1);
29-09-1997;  1; 5;10;16;21;23;27;2;(2/4);'22200';(6/0);
26-09-1997; 20;28;31;35;36;44;12;1;(4/2);'00231';(1/5);
24-09-1997;  1; 2;12;24;25;44; 5;2;(4/2);'21201';(5/1);
23-09-1997;  1; 9;10;21;32;33;40;0;(2/4);'21120';(4/2);
22-09-1997; 36;38;41;43;44;46;26;0;(4/2);'00024';(0/6);
19-09-1997; 10;13;22;33;42;45; 2;4;(3/3);'02112';(3/3);
17-09-1997;  2; 5;17;22;41;49; 9;6;(2/4);'21102';(4/2);
16-09-1997;  1; 9;21;38;46;47;16;3;(2/4);'20112';(3/3);
15-09-1997;  9;26;38;43;47;49;28;1;(2/4);'10113';(1/5);
12-09-1997;  9;15;28;29;30;35;16;9;(2/4);'11220';(2/4);
10-09-1997;  4; 9;13;31;33;49;22;1;(1/5);'21021';(3/3);
 9-09-1997;  6;15;19;24;32;47;36;1;(3/3);'12111';(4/2);
 8-09-1997;  1;16;31;41;43;46;17;5;(2/4);'11013';(2/4);
 5-09-1997;  8;20;28;32;38;44; 3;7;(6/0);'10221';(2/4);
 3-09-1997;  1;15;25;35;40;42;30;8;(2/4);'11112';(3/3);
 2-09-1997;  8;21;27;33;34;38;10;6;(3/3);'10230';(2/4);
 1-09-1997;  9;14;34;38;40;41;15;2;(4/2);'11022';(2/4);
29-08-1997;  3; 5;18;33;34;49; 4;2;(2/4);'21021';(3/3);
27-08-1997;  7;23;28;31;37;49;40;3;(1/5);'10221';(2/4);
26-08-1997;  2; 3;14;26;30;47;49;3;(4/2);'21111';(3/3);
25-08-1997;  1;12;25;37;43;47;13;7;(1/5);'11112';(3/3);
22-08-1997;  2;14;29;34;35;46;41;2;(4/2);'11121';(2/4);
20-08-1997;  5;10;12;20;32;38;49;8;(5/1);'12120';(4/2);
19-08-1997;  1; 9;21;30;34;43;45;6;(2/4);'20121';(3/3);
18-08-1997;  4;13;14;31;43;45;32;5;(2/4);'12012';(3/3);
15-08-1997; 13;15;17;25;36;42;44;0;(2/4);'03111';(4/2);
13-08-1997;  4;19;23;32;38;47;11;6;(3/3);'11121';(3/3);
12-08-1997;  3;10;16;19;24;30; 1;1;(4/2);'13110';(5/1);
11-08-1997;  1; 3;25;26;31;33; 4;5;(1/5);'20220';(3/3);
 8-08-1997; 12;13;35;37;39;48;24;3;(2/4);'02031';(2/4);
