
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1992

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
30-12-1992;  1;15;16;23;33;35;40;7;(1/5);'12120';(4/2);
29-12-1992;  5; 8;10;12;36;46;43;7;(5/1);'22011';(4/2);
28-12-1992;  8;10;25;43;44;45;32;7;(3/3);'11103';(3/3);
27-12-1992;  1; 5;11;21;22;49;14;7;(1/5);'21201';(5/1);
23-12-1992;  4; 5; 7;11;23;36;30;5;(2/4);'31110';(5/1);
22-12-1992;  2; 4;11;25;27;46;24;5;(3/3);'21201';(4/2);
21-12-1992;  6;23;33;35;48;49;25;5;(2/4);'10122';(2/4);
20-12-1992; 14;23;24;30;31;44;35;5;(4/2);'01221';(3/3);
16-12-1992;  1; 2; 5;23;31;37;11;7;(1/5);'30120';(4/2);
15-12-1992; 11;23;31;33;39;46;34;7;(1/5);'01131';(2/4);
14-12-1992; 12;16;17;22;27;32;43;7;(4/2);'03210';(4/2);
13-12-1992; 25;27;30;42;46;48;35;7;(4/2);'00213';(1/5);
 9-12-1992;  1;11;19;32;34;41;27;9;(2/4);'12021';(3/3);
 8-12-1992; 10;11;25;30;36;40; 2;9;(4/2);'02121';(3/3);
 7-12-1992; 10;32;37;39;43;45; 6;9;(2/4);'01032';(1/5);
 6-12-1992; 13;17;23;25;31;41; 7;9;(0/6);'02211';(4/2);
 2-12-1992;  1; 9;28;32;40;45;36;5;(3/3);'20112';(2/4);
 1-12-1992;  4;13;21;33;35;46;26;5;(2/4);'11121';(3/3);
30-11-1992;  7;24;28;32;34;37;16;5;(4/2);'10230';(2/4);
29-11-1992;  8;22;26;29;30;45;27;5;(4/2);'10311';(2/4);
25-11-1992;  2; 3; 5; 8;14;20;10;6;(4/2);'41100';(6/0);
24-11-1992;  2;10;11;20;30;33;14;6;(4/2);'12120';(4/2);
23-11-1992;  5;22;26;32;37;47;10;6;(3/3);'10221';(2/4);
22-11-1992;  5;19;26;37;38;48;11;6;(3/3);'11121';(2/4);
18-11-1992;  2;13;14;32;39;48; 4;0;(4/2);'12021';(3/3);
17-11-1992; 12;19;24;26;30;35;44;0;(4/2);'02220';(3/3);
16-11-1992; 10;28;35;37;45;48;31;0;(3/3);'01122';(1/5);
15-11-1992; 12;26;35;38;40;47;10;0;(4/2);'01122';(1/5);
11-11-1992; 14;15;26;31;43;49;27;9;(2/4);'02112';(2/4);
10-11-1992; 10;13;14;20;21;49;31;9;(3/3);'03201';(5/1);
 9-11-1992;  1;17;19;24;33;43;16;9;(1/5);'12111';(4/2);
 8-11-1992;  4;17;21;24;35;39;26;9;(2/4);'11220';(4/2);
 4-11-1992;  4;11;14;19;27;28; 3;9;(3/3);'13200';(4/2);
 3-11-1992;  4;10;16;21;27;49; 9;9;(3/3);'12201';(4/2);
 2-11-1992;  4;26;30;32;36;45;38;9;(5/1);'10131';(1/5);
 1-11-1992;  4; 5;13;19;32;35;39;9;(2/4);'22020';(4/2);
28-10-1992;  2; 5; 7;23;32;43;39;1;(2/4);'30111';(4/2);
27-10-1992; 13;20;22;32;33;40;36;1;(4/2);'01221';(3/3);
26-10-1992;  6; 7;13;20;24;29;42;1;(3/3);'21300';(5/1);
25-10-1992; 13;15;26;32;39;41;37;1;(2/4);'02121';(2/4);
21-10-1992;  9;15;19;20;25;36;49;2;(2/4);'12210';(5/1);
20-10-1992;  3;10;18;37;45;47;29;2;(2/4);'12012';(3/3);
19-10-1992; 22;34;35;36;46;47;16;2;(4/2);'00132';(1/5);
18-10-1992;  8;23;28;41;42;48;34;2;(4/2);'10203';(2/4);
14-10-1992;  1; 4; 8;34;38;45; 6;2;(4/2);'30021';(3/3);
13-10-1992;  1; 6;11;17;41;42;35;2;(2/4);'22002';(4/2);
12-10-1992; 29;35;37;38;40;45; 9;2;(2/4);'00132';(0/6);
11-10-1992; 15;16;34;41;43;49; 8;2;(2/4);'02013';(2/4);
 7-10-1992;  3; 4; 5;26;29;47; 9;6;(2/4);'30201';(3/3);
 6-10-1992;  1;10;14;15;27;46;24;6;(3/3);'13101';(4/2);
 5-10-1992; 11;16;20;29;35;49;40;6;(2/4);'02211';(3/3);
 4-10-1992;  3; 5; 7;40;44;45;28;6;(2/4);'30003';(3/3);
30-09-1992;  6; 8;33;35;37;44;49;2;(3/3);'20031';(2/4);
29-09-1992; 15;31;32;37;38;42;46;2;(3/3);'01041';(1/5);
28-09-1992;  5;21;24;27;29;30;12;2;(2/4);'10410';(3/3);
27-09-1992;  2; 3; 7;20;45;48;36;2;(3/3);'30102';(4/2);
23-09-1992;  2; 6;16;18;20;32;17;7;(6/0);'22110';(5/1);
22-09-1992;  2;13;18;26;28;41;29;7;(4/2);'12201';(3/3);
21-09-1992;  1;20;23;38;39;45;47;7;(2/4);'10221';(3/3);
20-09-1992; 36;37;40;42;43;46;11;7;(4/2);'00024';(0/6);
16-09-1992;  6;13;16;29;32;48;22;4;(4/2);'12111';(3/3);
15-09-1992;  6;16;24;29;42;43;31;4;(4/2);'11202';(3/3);
14-09-1992;  4; 6; 9;21;27;45;38;4;(2/4);'30201';(4/2);
13-09-1992; 15;25;29;30;39;43;21;4;(1/5);'01221';(2/4);
 9-09-1992;  3;10;18;20;46;49; 1;6;(4/2);'12102';(4/2);
 8-09-1992;  2; 5; 9;11;24;39;16;6;(2/4);'31110';(5/1);
 7-09-1992;  4;14;21;25;35;36;48;6;(3/3);'11220';(4/2);
 6-09-1992; 12;13;19;31;47;48;37;6;(2/4);'03012';(3/3);
 2-09-1992;  3;11;26;33;47;49;37;5;(1/5);'11112';(2/4);
 1-09-1992;  1; 5;14;29;30;46;45;5;(3/3);'21111';(3/3);
31-08-1992;  2; 7;13;20;21;34; 6;5;(3/3);'21210';(5/1);
30-08-1992; 19;20;25;27;32;43;37;5;(2/4);'01311';(3/3);
26-08-1992;  5; 7;12;26;38;45;40;1;(3/3);'21111';(3/3);
25-08-1992;  3; 4;10;12;38;47;14;1;(4/2);'22011';(4/2);
24-08-1992;  1;10;14;22;35;40;26;1;(4/2);'12111';(4/2);
23-08-1992;  2;17;19;32;33;48;28;1;(3/3);'12021';(3/3);
19-08-1992;  8;20;25;30;37;44;39;0;(4/2);'10221';(3/3);
18-08-1992;  3;10;24;25;27;47;17;0;(2/4);'11301';(4/2);
17-08-1992;  5;19;22;30;39;43;32;0;(2/4);'11121';(3/3);
16-08-1992;  2;28;29;33;44;46;23;0;(4/2);'10212';(1/5);
12-08-1992;  6; 7; 9;18;32;48;12;6;(4/2);'31011';(4/2);
11-08-1992; 13;21;30;33;43;49;47;6;(1/5);'01122';(2/4);
10-08-1992;  3;12;18;25;33;40;36;6;(3/3);'12111';(4/2);
 9-08-1992;  7; 9;22;28;32;47;29;6;(3/3);'20211';(3/3);
 5-08-1992; 11;22;27;34;35;49;48;9;(2/4);'01221';(2/4);
 4-08-1992;  1; 2; 6;27;29;38;14;9;(3/3);'30210';(3/3);
 3-08-1992; 27;37;41;44;45;49; 3;9;(1/5);'00114';(0/6);
 2-08-1992;  4; 8;21;23;28;48;19;9;(4/2);'20301';(4/2);
29-07-1992;  5;13;20;23;24;31; 6;0;(2/4);'11310';(5/1);
28-07-1992;  9;12;18;43;48;49;20;0;(3/3);'12003';(3/3);
27-07-1992;  8;20;26;28;39;45; 3;0;(4/2);'10311';(2/4);
26-07-1992; 30;32;34;41;43;46;36;0;(4/2);'00033';(0/6);
22-07-1992; 19;28;35;37;46;47;49;0;(2/4);'01122';(1/5);
21-07-1992;  6;12;15;35;37;46;34;0;(3/3);'12021';(3/3);
20-07-1992; 11;24;25;39;40;43; 7;0;(2/4);'01212';(3/3);
19-07-1992;  9;10;20;21;32;39;42;0;(3/3);'11220';(4/2);
15-07-1992;  6; 8;11;17;20;33;47;1;(3/3);'22110';(5/1);
14-07-1992; 10;11;21;27;28;47;36;1;(2/4);'02301';(3/3);
13-07-1992; 11;14;31;43;45;49;32;1;(1/5);'02013';(2/4);
12-07-1992; 12;21;28;32;42;49;36;1;(4/2);'01212';(2/4);
 8-07-1992; 18;19;23;30;33;36;11;6;(3/3);'02130';(3/3);
 7-07-1992;  7;10;19;37;38;41;16;6;(2/4);'12021';(3/3);
 6-07-1992;  7;12;15;17;25;41;22;6;(1/5);'13101';(5/1);
 5-07-1992;  2; 6; 9;14;23;32;38;6;(4/2);'31110';(5/1);
 1-07-1992;  3; 9;16;21;24;46;17;2;(3/3);'21201';(5/1);
30-06-1992;  1; 7;17;20;35;42;14;2;(2/4);'21111';(4/2);
29-06-1992;  9;10;14;17;39;41;18;2;(2/4);'13011';(4/2);
28-06-1992; 27;30;41;42;43;45;16;2;(2/4);'00114';(0/6);
24-06-1992; 18;22;39;42;43;46;20;2;(4/2);'01113';(2/4);
23-06-1992;  6; 8;23;24;31;47;30;2;(3/3);'20211';(4/2);
