
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1990

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-1990;  2;10;28;41;45;46;25;0;(4/2);'11103';(2/4);
30-12-1990;  1;14;31;35;42;44;16;0;(3/3);'11022';(2/4);
26-12-1990; 11;18;27;28;32;33; 7;0;(3/3);'02220';(2/4);
25-12-1990;  2;11;25;32;36;41;23;0;(3/3);'11121';(3/3);
24-12-1990;  4; 8;10;20;32;43; 5;0;(5/1);'21111';(4/2);
23-12-1990; 17;19;27;29;33;48;35;0;(1/5);'02211';(2/4);
19-12-1990;  9;23;30;34;35;36;32;0;(3/3);'10140';(2/4);
18-12-1990;  3;12;18;22;27;34;25;0;(4/2);'12210';(4/2);
17-12-1990;  1; 4;11;27;28;32;44;0;(3/3);'21210';(3/3);
16-12-1990;  3;16;19;22;42;47;14;0;(3/3);'12102';(4/2);
12-12-1990; 19;20;30;39;42;48; 4;0;(4/2);'01122';(2/4);
11-12-1990;  9;12;24;27;39;49;38;0;(2/4);'11211';(3/3);
10-12-1990; 11;14;24;35;46;47;43;0;(3/3);'02112';(3/3);
 9-12-1990;  4;27;35;44;46;47;32;0;(3/3);'10113';(1/5);
 5-12-1990;  4;11;13;14;31;40;38;0;(3/3);'13011';(4/2);
 4-12-1990;  6;13;15;27;37;43; 8;0;(1/5);'12111';(3/3);
 3-12-1990; 33;36;38;41;42;43;46;0;(3/3);'00033';(0/6);
 2-12-1990;  7;11;13;17;20;49;22;0;(1/5);'13101';(5/1);
28-11-1990; 15;30;31;34;38;41;44;0;(3/3);'01041';(1/5);
27-11-1990;  1; 5; 6;26;30;31;37;0;(3/3);'30120';(3/3);
26-11-1990; 10;16;27;32;41;42;12;0;(4/2);'02112';(2/4);
25-11-1990;  1; 5;12;13;26;46;27;0;(3/3);'22101';(4/2);
21-11-1990; 18;24;33;36;41;43; 1;0;(3/3);'01122';(2/4);
20-11-1990; 31;44;45;46;47;49;39;0;(2/4);'00015';(0/6);
19-11-1990;  4; 5;12;26;38;42;23;0;(5/1);'21111';(3/3);
18-11-1990; 19;22;35;36;38;41;16;0;(3/3);'01131';(2/4);
14-11-1990;  7;16;24;39;40;41;27;0;(3/3);'11112';(3/3);
13-11-1990;  1; 2; 4;20;29;32;40;0;(4/2);'30210';(4/2);
12-11-1990; 13;20;40;42;44;49;47;0;(4/2);'01104';(2/4);
11-11-1990;  4;12;25;42;43;45;48;0;(3/3);'11103';(3/3);
 7-11-1990;  3;18;24;26;34;45; 1;0;(4/2);'11211';(3/3);
 6-11-1990; 14;37;38;40;41;49;47;0;(3/3);'01023';(1/5);
 5-11-1990; 14;23;34;37;40;48;38;0;(4/2);'01122';(2/4);
 4-11-1990;  5;16;17;35;36;47;41;0;(2/4);'12021';(3/3);
31-10-1990; 21;22;34;35;37;47;28;0;(2/4);'00231';(2/4);
