
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2011

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
30-12-2011; 15;17;26;30;38;41;45;6;(3/3);'02121';(2/4);
28-12-2011; 13;15;22;46;48;49;12;6;(3/3);'02103';(3/3);
27-12-2011;  1; 3;21;28;30;42;27;5;(3/3);'20211';(3/3);
26-12-2011; 10;11;13;24;41;45;31;2;(2/4);'03102';(4/2);
23-12-2011;  2;11;16;21;31;32; 5;8;(3/3);'12120';(4/2);
21-12-2011; 13;16;20;28;39;40;22;3;(4/2);'02211';(3/3);
20-12-2011;  8; 9;25;27;35;49;10;5;(1/5);'20211';(3/3);
19-12-2011;  6;13;15;18;19;31;48;4;(2/4);'14010';(5/1);
16-12-2011; 11;18;22;26;31;34;39;0;(4/2);'02220';(3/3);
14-12-2011;  8;24;25;32;33;35;47;7;(3/3);'10230';(3/3);
13-12-2011;  1;17;18;22;27;38;12;3;(3/3);'12210';(4/2);
12-12-2011;  3; 9;10;11;22;36;48;9;(3/3);'22110';(5/1);
 9-12-2011;  7;24;26;28;29;36;17;7;(4/2);'10410';(2/4);
 7-12-2011;  3;14;17;40;41;45;43;3;(2/4);'12003';(3/3);
 6-12-2011;  2;10;11;17;23;39;40;5;(2/4);'13110';(5/1);
 5-12-2011;  3; 9;11;27;34;40;26;0;(2/4);'21111';(3/3);
 2-12-2011;  4;13;29;30;36;46;49;8;(4/2);'11121';(2/4);
30-11-2011;  4;18;22;29;45;48;43;5;(4/2);'11202';(3/3);
29-11-2011;  7;14;17;29;35;36;25;6;(2/4);'12120';(3/3);
28-11-2011;  6;11;16;23;39;42; 9;0;(3/3);'12111';(4/2);
25-11-2011;  1;12;15;29;43;45; 9;8;(1/5);'12102';(3/3);
23-11-2011;  1;14;27;35;41;45;28;5;(1/5);'11112';(2/4);
22-11-2011;  9;14;21;24;37;47;27;7;(2/4);'11211';(4/2);
21-11-2011;  4;15;19;26;34;35;27;8;(3/3);'12120';(3/3);
18-11-2011; 20;31;35;36;45;48;26;7;(3/3);'00132';(1/5);
16-11-2011;  1; 8;22;33;41;45;47;7;(2/4);'20112';(3/3);
15-11-2011; 13;24;36;39;46;47;41;7;(3/3);'01122';(2/4);
14-11-2011;  6;23;27;39;43;48;17;5;(2/4);'10212';(2/4);
11-11-2011; 25;27;37;41;45;47;20;8;(0/6);'00213';(1/5);
 9-11-2011;  7;14;25;34;47;49; 9;3;(2/4);'11112';(3/3);
 8-11-2011;  1; 8;19;23;26;31;22;7;(2/4);'21210';(4/2);
 7-11-2011;  5;11;21;30;33;38;43;7;(2/4);'11130';(3/3);
 4-11-2011;  2; 5;20;23;34;36;19;5;(4/2);'20220';(4/2);
 2-11-2011;  7;13;18;28;36;46;27;9;(4/2);'12111';(3/3);
 1-11-2011;  8; 9;10;20;28;37;45;3;(4/2);'21210';(4/2);
31-10-2011;  4; 5;21;33;37;43;12;4;(1/5);'20121';(3/3);
28-10-2011; 12;16;20;24;32;49; 8;3;(5/1);'02211';(4/2);
26-10-2011; 15;23;34;35;36;46;38;0;(3/3);'01131';(2/4);
25-10-2011;  4; 6; 7;11;21;49;13;9;(2/4);'31101';(5/1);
24-10-2011;  7; 9;13;20;25;36;23;7;(2/4);'21210';(5/1);
21-10-2011;  7;15;23;34;41;48;10;7;(2/4);'11112';(3/3);
19-10-2011;  3; 7;24;39;41;43;19;9;(1/5);'20112';(3/3);
18-10-2011;  9;11;13;17;28;47;37;4;(1/5);'13101';(4/2);
17-10-2011;  2;11;25;26;39;45;43;1;(2/4);'11211';(3/3);
14-10-2011; 17;23;28;30;35;45; 5;4;(2/4);'01221';(2/4);
12-10-2011;  8;15;25;26;41;49;38;8;(2/4);'11202';(3/3);
11-10-2011;  3;16;31;38;40;48;33;9;(4/2);'11022';(2/4);
10-10-2011; 14;17;19;20;22;39;21;6;(3/3);'03210';(5/1);
 7-10-2011;  8;26;27;32;41;47;42;2;(3/3);'10212';(1/5);
 5-10-2011; 21;26;33;37;40;47;13;9;(2/4);'00222';(1/5);
 4-10-2011;  4; 8;33;38;45;49;34;5;(3/3);'20022';(2/4);
 3-10-2011; 12;13;27;31;38;44;37;2;(3/3);'02121';(2/4);
30-09-2011;  1;15;21;29;32;42;36;5;(2/4);'11211';(3/3);
28-09-2011;  8; 9;29;40;45;47;11;1;(2/4);'20103';(2/4);
27-09-2011;  4; 7;16;19;26;30;18;9;(4/2);'22110';(4/2);
26-09-2011;  2; 8;15;18;37;48; 9;9;(4/2);'22011';(4/2);
23-09-2011;  2; 5; 6; 8;32;46;38;8;(5/1);'40011';(4/2);
21-09-2011;  3; 6;17;19;35;48;21;6;(2/4);'22011';(4/2);
20-09-2011;  2;15;16;21;37;49;34;9;(2/4);'12111';(4/2);
19-09-2011; 16;23;26;30;36;45;11;2;(4/2);'01221';(2/4);
16-09-2011;  4;16;20;33;35;47;23;1;(3/3);'11121';(3/3);
14-09-2011;  3; 7;16;23;31;36;34;0;(2/4);'21120';(4/2);
13-09-2011; 14;17;20;33;35;40;29;3;(3/3);'02121';(3/3);
12-09-2011;  7;17;20;26;38;42;31;0;(4/2);'11211';(3/3);
 9-09-2011; 14;18;22;28;32;35;38;3;(5/1);'02220';(3/3);
 7-09-2011; 14;15;18;21;26;36;12;2;(4/2);'03210';(4/2);
 6-09-2011; 11;23;28;33;44;49; 4;5;(2/4);'01212';(2/4);
 5-09-2011;  2;12;21;22;27;41;35;2;(3/3);'11301';(4/2);
 2-09-2011;  5;15;16;31;35;46; 9;4;(2/4);'12021';(3/3);
31-08-2011;  1;15;21;31;36;43;20;3;(1/5);'11121';(3/3);
30-08-2011;  1; 5;18;28;34;42;49;7;(4/2);'21111';(3/3);
29-08-2011;  6; 8;19;20;34;41;44;7;(4/2);'21111';(4/2);
26-08-2011;  3; 8;11;22;28;36; 7;6;(4/2);'21210';(4/2);
24-08-2011; 14;15;27;31;34;42; 7;5;(3/3);'02121';(2/4);
23-08-2011;  7;12;25;29;32;33;27;6;(2/4);'11220';(3/3);
22-08-2011;  7; 9;13;19;21;31; 8;0;(0/6);'22110';(5/1);
19-08-2011; 10;14;20;21;25;40;27;4;(4/2);'02301';(5/1);
