
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2006

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
29-12-2006;  4;15;19;23;29;42;41;0;(2/4);'12201';(4/2);
27-12-2006;  8;18;27;31;33;49;19;3;(2/4);'11121';(2/4);
26-12-2006; 11;24;30;33;35;42;17;6;(3/3);'01131';(2/4);
25-12-2006;  8;17;24;30;32;34;23;1;(5/1);'11130';(3/3);
22-12-2006;  1; 4;16;18;22;32;23;1;(5/1);'22110';(5/1);
20-12-2006;  7;12;19;20;31;45;22;8;(2/4);'12111';(4/2);
19-12-2006;  3; 6;12;18;37;46; 5;5;(4/2);'22011';(4/2);
18-12-2006; 17;25;35;36;41;42;27;9;(2/4);'01122';(2/4);
15-12-2006; 10;17;20;37;41;44; 9;1;(3/3);'02112';(3/3);
13-12-2006;  7; 9;25;32;44;49; 1;4;(2/4);'20112';(3/3);
12-12-2006;  2; 3;14;33;34;43;13;3;(3/3);'21021';(3/3);
11-12-2006;  6;10;12;14;16;33;40;6;(5/1);'14010';(5/1);
 8-12-2006;  2; 9;22;29;46;47;23;7;(3/3);'20202';(3/3);
 6-12-2006;  7;11;19;33;38;46; 1;4;(2/4);'12021';(3/3);
 5-12-2006;  6;34;35;37;41;48;43;8;(3/3);'10032';(1/5);
 4-12-2006;  1; 2;16;27;29;32;39;7;(3/3);'21210';(3/3);
 1-12-2006; 10;14;20;24;28;34; 3;5;(6/0);'02310';(4/2);
29-11-2006; 10;15;34;39;41;46;25;5;(3/3);'02022';(2/4);
28-11-2006;  6;24;26;35;39;44;12;1;(4/2);'10221';(2/4);
27-11-2006;  3;13;30;37;42;43;27;1;(2/4);'11022';(2/4);
24-11-2006;  9;10;19;28;36;48;38;6;(4/2);'12111';(3/3);
22-11-2006; 14;23;25;39;41;44;22;3;(2/4);'01212';(3/3);
21-11-2006;  1; 7;14;30;38;42;48;2;(4/2);'21021';(3/3);
20-11-2006;  1; 8;17;22;33;34;42;3;(3/3);'21120';(4/2);
17-11-2006;  6;18;20;27;36;39;33;5;(4/2);'11220';(3/3);
15-11-2006;  3;17;21;35;37;46;41;9;(1/5);'11121';(3/3);
14-11-2006;  1; 2;18;33;39;47; 6;1;(2/4);'21021';(3/3);
13-11-2006; 10;19;21;23;28;37;27;5;(2/4);'02310';(4/2);
10-11-2006;  5;14;22;26;44;48;23;4;(5/1);'11202';(3/3);
 8-11-2006;  4;11;14;23;26;41;46;6;(3/3);'12201';(4/2);
 7-11-2006;  5;10;12;16;28;32;43;8;(5/1);'13110';(4/2);
 6-11-2006;  3; 5;10;17;24;45;39;1;(2/4);'22101';(5/1);
 3-11-2006;  9;15;26;36;41;46;33;6;(3/3);'11112';(2/4);
 1-11-2006;  6;12;26;29;46;48;32;5;(5/1);'11202';(2/4);
31-10-2006;  4; 9;27;30;41;46; 1;2;(3/3);'20112';(2/4);
30-10-2006; 11;19;27;31;37;42;24;3;(1/5);'02121';(2/4);
27-10-2006;  2; 4;22;27;28;41;38;7;(4/2);'20301';(3/3);
25-10-2006;  2;25;28;35;45;49;44;1;(2/4);'10212';(2/4);
24-10-2006;  6;14;22;32;42;46; 2;8;(6/0);'11112';(3/3);
23-10-2006; 20;31;34;45;47;48;13;4;(3/3);'00123';(1/5);
20-10-2006;  1;21;31;44;48;49;13;4;(2/4);'10113';(2/4);
18-10-2006; 12;20;28;31;32;41;42;1;(4/2);'01221';(2/4);
17-10-2006; 12;18;26;32;39;43;17;3;(4/2);'02121';(2/4);
16-10-2006;  1; 3;11;38;39;41;22;7;(1/5);'21021';(3/3);
13-10-2006;  7; 9;21;28;34;45; 4;0;(2/4);'20211';(3/3);
11-10-2006; 10;11;18;19;41;47; 9;5;(2/4);'04002';(4/2);
10-10-2006;  7;15;23;40;43;48;41;9;(2/4);'11103';(3/3);
 9-10-2006; 19;31;35;45;46;47;18;9;(1/5);'01023';(1/5);
 6-10-2006;  2; 3; 7; 8;24;29;28;8;(3/3);'40200';(5/1);
 4-10-2006; 15;20;25;28;30;33;38;3;(3/3);'01320';(3/3);
 3-10-2006;  9;26;29;36;41;45;27;2;(2/4);'10212';(1/5);
 2-10-2006;  7;20;23;28;33;41;15;8;(2/4);'10311';(3/3);
29-09-2006; 23;24;26;29;31;40;20;0;(3/3);'00411';(2/4);
27-09-2006; 10;15;22;28;33;46;16;0;(4/2);'02211';(3/3);
26-09-2006;  4; 8;18;33;41;45;31;0;(3/3);'21012';(3/3);
25-09-2006;  4; 9;21;45;46;49;34;6;(2/4);'20103';(3/3);
22-09-2006;  3;22;24;35;40;48;45;2;(4/2);'10212';(3/3);
20-09-2006;  1;12;31;42;43;46;11;2;(3/3);'11013';(2/4);
19-09-2006;  4;12;13;14;19;20;16;0;(4/2);'14100';(6/0);
18-09-2006;  2;11;17;21;24;42; 8;6;(3/3);'12201';(5/1);
15-09-2006; 14;17;22;31;34;41;42;1;(3/3);'02121';(3/3);
13-09-2006;  6; 8;10;18;19;20;42;4;(5/1);'23100';(6/0);
12-09-2006;  1; 4;25;30;39;41;18;0;(2/4);'20121';(3/3);
11-09-2006;  1; 5;19;28;43;46;23;6;(2/4);'21102';(3/3);
 8-09-2006;  5; 9;13;26;34;36;44;1;(3/3);'21120';(3/3);
 6-09-2006;  6; 8; 9;31;40;45;30;2;(3/3);'30012';(3/3);
 5-09-2006;  1;10;17;28;32;40;24;9;(4/2);'12111';(3/3);
 4-09-2006;  2; 3;12;29;34;43;26;3;(3/3);'21111';(3/3);
 1-09-2006;  3;18;24;29;44;48;14;8;(4/2);'11202';(3/3);
30-08-2006;  7;15;27;34;43;49;25;1;(1/5);'11112';(2/4);
29-08-2006;  7;10;25;26;28;37;35;6;(3/3);'11310';(3/3);
28-08-2006;  9;18;24;39;41;48;19;0;(3/3);'11112';(3/3);
25-08-2006;  5;22;24;34;38;48;16;6;(5/1);'10221';(3/3);
23-08-2006;  5; 6;33;36;43;49; 8;8;(2/4);'20022';(2/4);
22-08-2006;  9;12;13;20;31;35; 6;1;(2/4);'12120';(4/2);
21-08-2006; 14;25;28;32;38;40; 5;2;(5/1);'01221';(2/4);
18-08-2006; 10;20;29;35;36;40;37;6;(4/2);'01221';(2/4);
16-08-2006;  5;33;41;43;45;47;44;9;(0/6);'10014';(1/5);
15-08-2006;  1;14;18;24;28;48;36;6;(5/1);'12201';(4/2);
14-08-2006;  8;23;27;28;32;36;46;2;(4/2);'10320';(2/4);
11-08-2006;  3;15;19;27;30;41; 4;8;(1/5);'12111';(3/3);
 9-08-2006; 12;18;19;29;32;36;13;2;(4/2);'03120';(3/3);
 8-08-2006;  5; 6; 7; 9;10;49;42;1;(2/4);'41001';(5/1);
 7-08-2006; 23;35;38;39;43;45;20;4;(1/5);'00132';(1/5);
