
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2014

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2014;  5; 7;15;27;40;45;32;6;(1/5);'21102';(3/3);
30-12-2014;  7;10;15;17;20;25;39;9;(2/4);'13200';(6/0);
29-12-2014;  3;16;21;22;38;47;10;0;(3/3);'11211';(4/2);
26-12-2014;  1; 4;12;30;32;36; 5;4;(5/1);'21030';(3/3);
24-12-2014;  1; 4; 6;30;34;39;12;3;(4/2);'30030';(3/3);
23-12-2014;  1; 9;12;14;44;47;32;7;(3/3);'22002';(4/2);
22-12-2014;  6; 8;16;26;39;47;36;8;(4/2);'21111';(3/3);
19-12-2014; 12;23;26;28;29;40;21;6;(4/2);'01401';(2/4);
17-12-2014; 12;35;36;40;43;46;23;7;(4/2);'01023';(1/5);
16-12-2014;  2; 3;10;27;32;35;29;8;(3/3);'21120';(3/3);
15-12-2014;  6; 8; 9;16;17;37;44;2;(3/3);'32010';(5/1);
10-12-2014;  1;10;14;31;33;44;29;5;(3/3);'12021';(3/3);
 9-12-2014;  3; 6;16;20;44;46;26;2;(5/1);'21102';(4/2);
 8-12-2014; 10;23;28;42;45;47;40;5;(3/3);'01203';(2/4);
 5-12-2014;  3; 7;13;16;31;49;25;7;(1/5);'22011';(4/2);
 3-12-2014; 13;23;33;35;39;47;14;2;(0/6);'01131';(2/4);
 2-12-2014;  4;11;31;32;35;49;14;6;(2/4);'11031';(2/4);
 1-12-2014; 16;18;25;42;46;48;19;4;(5/1);'02103';(3/3);
28-11-2014;  3; 5;14;28;33;39;49;0;(2/4);'21120';(3/3);
26-11-2014;  5;11;13;27;29;35;49;7;(0/6);'12210';(3/3);
25-11-2014;  9;18;20;22;37;48;35;3;(4/2);'11211';(4/2);
24-11-2014;  1;10;15;26;38;47;16;7;(3/3);'12111';(3/3);
21-11-2014;  4;14;18;19;27;47;48;0;(3/3);'13101';(4/2);
19-11-2014;  5; 7;14;25;28;34;16;2;(3/3);'21210';(4/2);
18-11-2014;  3;12;14;26;32;37;21;5;(4/2);'12120';(3/3);
17-11-2014;  4; 7;25;36;45;46;20;6;(3/3);'20112';(3/3);
14-11-2014; 10;12;20;24;39;46;31;4;(5/1);'02211';(4/2);
12-11-2014; 20;24;28;35;38;39;46;6;(4/2);'00330';(2/4);
11-11-2014;  2; 6;13;19;25;47;39;0;(2/4);'22101';(5/1);
10-11-2014;  1; 3; 4;10;25;38;30;9;(3/3);'31110';(5/1);
 7-11-2014;  3; 9;14;15;34;44; 7;5;(3/3);'22011';(4/2);
 5-11-2014; 14;24;28;45;46;48;31;7;(5/1);'01203';(2/4);
 4-11-2014;  2; 4;16;18;42;46;14;1;(6/0);'22002';(4/2);
 3-11-2014;  7;13;15;22;26;30;41;2;(3/3);'12210';(4/2);
31-10-2014;  3;10;13;14;22;36;20;8;(4/2);'13110';(5/1);
29-10-2014; 12;21;33;35;39;47;36;1;(1/5);'01131';(2/4);
28-10-2014;  4;12;13;35;43;49;15;5;(2/4);'12012';(3/3);
27-10-2014;  1; 9;26;28;41;44;33;7;(3/3);'20202';(2/4);
24-10-2014;  5; 6;13;22;38;44; 1;7;(4/2);'21111';(4/2);
22-10-2014;  3; 8;33;36;37;42;24;1;(3/3);'20031';(2/4);
21-10-2014;  6;10;19;22;44;48;14;7;(5/1);'12102';(4/2);
20-10-2014;  6; 9;15;29;36;37; 8;9;(2/4);'21120';(3/3);
17-10-2014;  1;18;19;24;43;44; 4;9;(3/3);'12102';(4/2);
15-10-2014;  4;10;25;27;29;49;11;8;(2/4);'11301';(3/3);
