
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2009

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
30-12-2009;  4; 8;23;29;38;39;16;7;(3/3);'20220';(3/3);
29-12-2009;  9;17;27;32;34;45;37;4;(2/4);'11121';(2/4);
28-12-2009;  6; 8;19;20;42;47;16;6;(4/2);'21102';(4/2);
25-12-2009; 20;23;31;42;45;49;26;6;(2/4);'00213';(2/4);
23-12-2009; 12;14;16;17;29;32;24;2;(4/2);'04110';(4/2);
22-12-2009; 11;16;17;19;23;43;30;2;(1/5);'04101';(5/1);
21-12-2009;  8;15;19;24;36;38;13;7;(4/2);'12120';(4/2);
18-12-2009; 27;34;40;41;43;46;37;3;(3/3);'00114';(0/6);
16-12-2009;  1; 3; 7;14;20;34;17;3;(3/3);'31110';(5/1);
15-12-2009;  3;18;29;32;38;43;30;9;(3/3);'11121';(2/4);
14-12-2009;  5; 9;19;26;33;36; 2;7;(2/4);'21120';(3/3);
11-12-2009; 13;24;26;30;31;35;18;7;(3/3);'01230';(2/4);
 9-12-2009;  8;15;22;27;38;41;34;6;(3/3);'11211';(3/3);
 8-12-2009; 16;17;23;27;33;48;22;0;(2/4);'02211';(3/3);
 7-12-2009;  7;14;15;21;39;48;25;8;(2/4);'12111';(4/2);
 4-12-2009; 19;26;30;35;41;49;22;3;(2/4);'01122';(1/5);
 2-12-2009;  3; 5; 7;10;17;23;19;1;(1/5);'32100';(6/0);
 1-12-2009; 10;13;14;23;39;41; 6;5;(2/4);'03111';(4/2);
30-11-2009;  4;12;16;35;37;46;47;3;(4/2);'12021';(3/3);
27-11-2009;  3; 5;17;26;27;47; 1;2;(1/5);'21201';(3/3);
25-11-2009;  4; 8;19;29;34;37; 2;6;(3/3);'21120';(3/3);
24-11-2009;  1;34;35;38;40;41; 4;5;(3/3);'10032';(1/5);
23-11-2009; 10;18;27;37;40;43;39;2;(3/3);'02112';(2/4);
20-11-2009;  2;12;14;33;39;47;26;1;(3/3);'12021';(3/3);
18-11-2009;  3;10;33;35;38;39;26;3;(2/4);'11040';(2/4);
17-11-2009; 15;25;28;30;37;41; 4;7;(2/4);'01221';(2/4);
16-11-2009;  6;13;22;30;34;37;39;9;(4/2);'11130';(3/3);
13-11-2009;  3; 8;23;29;41;49;42;8;(1/5);'20202';(3/3);
11-11-2009; 10;12;23;24;28;30;25;4;(5/1);'02310';(4/2);
10-11-2009;  4;20;23;26;33;41;18;6;(3/3);'10311';(3/3);
 9-11-2009;  5;11;15;19;27;46;45;5;(1/5);'13101';(4/2);
 6-11-2009;  4;12;28;42;46;49;17;7;(5/1);'11103';(2/4);
 4-11-2009; 14;20;24;26;36;41;12;3;(5/1);'01311';(3/3);
 3-11-2009;  5;10;23;24;34;35;26;7;(3/3);'11220';(4/2);
