
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1998

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
30-12-1998; 25;31;34;35;42;45;27;4;(2/4);'00132';(1/5);
29-12-1998; 15;22;27;31;40;45;29;2;(2/4);'01212';(2/4);
28-12-1998; 16;21;22;31;41;45;48;5;(2/4);'01212';(3/3);
25-12-1998; 15;26;36;41;46;48;34;9;(4/2);'01113';(1/5);
23-12-1998;  6;11;17;24;27;40;45;8;(3/3);'12201';(4/2);
22-12-1998;  7;16;17;19;29;41;11;8;(1/5);'13101';(4/2);
21-12-1998;  1; 7; 8;16;39;48;45;0;(3/3);'31011';(4/2);
18-12-1998;  7;29;31;35;38;49;19;0;(1/5);'10131';(1/5);
16-12-1998;  9;13;21;39;44;46;41;4;(2/4);'11112';(3/3);
15-12-1998;  7; 8; 9;10;21;24; 4;4;(3/3);'31200';(6/0);
14-12-1998;  1; 2; 5;13;43;46;31;3;(2/4);'31002';(4/2);
11-12-1998;  7;15;26;27;34;48;22;3;(3/3);'11211';(2/4);
 9-12-1998; 13;16;32;33;36;38; 2;4;(4/2);'02040';(2/4);
 8-12-1998;  6;12;16;18;22;35; 7;7;(5/1);'13110';(5/1);
 7-12-1998;  2; 8;11;27;41;49;25;4;(2/4);'21102';(3/3);
 4-12-1998;  3;11;21;23;34;47;13;6;(1/5);'11211';(4/2);
 2-12-1998; 17;21;26;29;31;34;16;1;(2/4);'01320';(2/4);
 1-12-1998;  6; 7;10;20;36;43;34;7;(4/2);'21111';(4/2);
30-11-1998; 13;14;18;21;32;35;44;5;(3/3);'03120';(4/2);
27-11-1998;  7;18;22;32;35;40;37;6;(4/2);'11121';(3/3);
25-11-1998; 14;22;24;41;47;48;49;1;(4/2);'01203';(3/3);
24-11-1998;  1;21;27;36;41;42;48;5;(2/4);'10212';(2/4);
23-11-1998; 13;22;27;31;34;46;44;0;(3/3);'01221';(2/4);
20-11-1998; 13;22;29;35;41;43;15;4;(1/5);'01212';(2/4);
18-11-1998;  4; 9;23;25;41;44;45;2;(2/4);'20202';(4/2);
17-11-1998;  8;12;14;35;39;49;48;2;(3/3);'12021';(3/3);
16-11-1998;  2; 4;16;19;28;47; 3;0;(4/2);'22101';(4/2);
13-11-1998;  4;15;20;32;37;39; 6;5;(3/3);'11130';(3/3);
11-11-1998; 11;23;27;32;33;38;47;9;(2/4);'01230';(2/4);
10-11-1998;  2;21;22;26;30;35;33;6;(4/2);'10320';(3/3);
 9-11-1998;  8;11;25;28;31;48; 9;2;(3/3);'11211';(3/3);
 6-11-1998;  3; 7;15;20;42;48;27;0;(3/3);'21102';(4/2);
 4-11-1998;  8;11;21;28;33;38;26;8;(3/3);'11220';(3/3);
 3-11-1998; 11;20;22;24;31;37;32;1;(3/3);'01320';(4/2);
 2-11-1998;  1; 2; 6;20;38;43;41;5;(4/2);'30111';(4/2);
30-10-1998;  4; 8;16;22;25;45;10;4;(4/2);'21201';(5/1);
28-10-1998; 13;16;21;31;34;49;14;1;(2/4);'02121';(3/3);
27-10-1998;  4;15;25;34;39;41;42;4;(2/4);'11121';(3/3);
26-10-1998;  4; 9;17;39;42;44;46;3;(3/3);'21012';(3/3);
23-10-1998; 14;35;36;39;44;45;25;6;(3/3);'01032';(1/5);
21-10-1998; 13;15;21;31;38;40;16;0;(2/4);'02121';(3/3);
20-10-1998;  6;12;23;31;34;47;11;8;(3/3);'11121';(3/3);
19-10-1998; 15;25;34;36;38;40;14;5;(4/2);'01131';(2/4);
16-10-1998;  3; 9;19;22;30;42;27;1;(3/3);'21111';(4/2);
14-10-1998;  2;15;22;23;44;49; 1;1;(3/3);'11202';(4/2);
13-10-1998; 10;11;25;34;45;47;44;0;(2/4);'02112';(3/3);
12-10-1998;  7;24;25;28;36;39; 1;8;(3/3);'10320';(3/3);
 9-10-1998;  3; 4; 9;26;32;39;45;2;(3/3);'30120';(3/3);
 7-10-1998;  2; 9;10;15;40;43;45;4;(3/3);'22002';(4/2);
 6-10-1998; 14;18;22;24;25;26;11;7;(5/1);'02400';(5/1);
