
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1993

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-1993;  4; 6;29;34;36;48;22;8;(5/1);'20121';(2/4);
29-12-1993;  6;20;33;34;35;45;10;3;(3/3);'10131';(2/4);
28-12-1993;  1;23;27;31;45;46;49;9;(1/5);'10212';(2/4);
27-12-1993;  7;18;28;29;30;40;32;8;(4/2);'11211';(2/4);
24-12-1993;  4;10;18;27;41;43;42;6;(3/3);'12102';(3/3);
22-12-1993;  8;18;24;33;35;44;43;5;(4/2);'11121';(3/3);
21-12-1993;  1; 2; 8;23;37;44;15;7;(3/3);'30111';(4/2);
20-12-1993;  2;34;35;37;41;44;32;2;(3/3);'10032';(1/5);
17-12-1993;  3; 7;28;31;39;41;45;6;(1/5);'20121';(2/4);
15-12-1993;  6;15;29;37;41;48;34;4;(2/4);'11112';(2/4);
14-12-1993;  3;10;20;24;34;35;47;5;(4/2);'11220';(4/2);
13-12-1993;  2;17;27;36;44;46;39;5;(4/2);'11112';(2/4);
10-12-1993;  3; 4;24;35;39;47;27;8;(2/4);'20121';(3/3);
 8-12-1993;  2;17;25;27;39;45;18;1;(1/5);'11211';(3/3);
 7-12-1993;  5;12;31;37;38;45; 2;5;(2/4);'11031';(2/4);
 6-12-1993;  3; 9;11;13;22;38;46;9;(2/4);'22110';(5/1);
 3-12-1993;  6;22;27;34;43;46;37;2;(4/2);'10212';(2/4);
 1-12-1993;  6;15;20;25;29;42;41;8;(3/3);'11301';(4/2);
30-11-1993;  3;13;15;23;37;47;26;1;(0/6);'12111';(4/2);
29-11-1993; 14;24;25;28;36;49;41;4;(4/2);'01311';(3/3);
26-11-1993;  2;23;28;34;35;46;14;1;(4/2);'10221';(2/4);
24-11-1993;  5;19;21;23;25;42;39;9;(1/5);'11301';(5/1);
23-11-1993;  3; 5; 6;10;23;37;47;0;(2/4);'31110';(5/1);
22-11-1993;  1; 7; 8;40;45;46; 9;3;(3/3);'30003';(3/3);
19-11-1993;  6;12;14;36;37;49;22;4;(4/2);'12021';(3/3);
17-11-1993;  8;23;29;31;35;36;49;0;(2/4);'10230';(2/4);
16-11-1993;  5;19;22;26;27;35;14;8;(2/4);'11310';(3/3);
15-11-1993;  8;14;17;23;31;33;19;8;(2/4);'12120';(4/2);
12-11-1993;  1; 9;10;14;29;42;22;5;(3/3);'22101';(4/2);
10-11-1993;  5; 6;26;32;33;38;17;5;(4/2);'20130';(2/4);
 9-11-1993;  9;25;38;42;43;48;21;7;(3/3);'10113';(2/4);
 8-11-1993; 19;31;32;42;44;49;43;0;(3/3);'01023';(1/5);
 5-11-1993;  1; 2; 3;14;24;46;40;6;(4/2);'31101';(5/1);
 3-11-1993;  4;32;37;39;45;49;21;2;(2/4);'10032';(1/5);
 2-11-1993; 17;20;36;38;45;48;25;0;(4/2);'01122';(2/4);
 1-11-1993;  9;19;23;29;39;45;41;4;(0/6);'11211';(3/3);
29-10-1993;  1; 4;17;18;19;24;32;5;(3/3);'23100';(6/0);
27-10-1993; 14;16;20;21;28;46;19;0;(5/1);'02301';(4/2);
26-10-1993; 20;25;28;37;41;49;16;3;(2/4);'00312';(2/4);
25-10-1993;  4;16;22;28;38;47;27;2;(5/1);'11211';(3/3);
22-10-1993;  9;10;19;22;29;41;26;7;(2/4);'12201';(4/2);
20-10-1993; 21;29;31;35;42;45;12;7;(1/5);'00222';(1/5);
19-10-1993;  9;11;22;33;40;41;34;0;(2/4);'11112';(3/3);
18-10-1993; 10;21;25;32;37;40;41;7;(3/3);'01221';(3/3);
