
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1991

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-1991; 15;16;23;26;30;38;43;9;(4/2);'02220';(3/3);
30-12-1991;  1; 9;34;39;47;49;31;9;(1/5);'20022';(2/4);
29-12-1991;  4;26;32;45;46;47;43;9;(4/2);'10113';(1/5);
25-12-1991; 19;25;27;30;31;33;14;7;(1/5);'01230';(2/4);
24-12-1991;  2;11;16;31;38;49;47;7;(3/3);'12021';(3/3);
23-12-1991;  2;20;28;30;36;46;35;7;(6/0);'10221';(2/4);
22-12-1991; 11;22;33;37;38;49;28;7;(2/4);'01131';(2/4);
18-12-1991; 11;13;15;16;24;33;48;7;(2/4);'04110';(5/1);
17-12-1991; 15;23;25;37;39;49;46;7;(0/6);'01221';(3/3);
16-12-1991; 17;20;27;36;44;46;38;7;(4/2);'01212';(2/4);
15-12-1991;  1; 3;25;29;48;49;31;7;(1/5);'20202';(3/3);
11-12-1991;  9;18;31;36;39;42;45;3;(3/3);'11031';(2/4);
10-12-1991;  4;12;20;22;25;49;31;3;(4/2);'11301';(5/1);
 9-12-1991;  9;12;21;32;38;39; 2;3;(3/3);'11130';(3/3);
 8-12-1991; 11;14;20;24;29;34;16;3;(4/2);'02310';(4/2);
 4-12-1991;  2; 6;19;22;46;49;31;8;(4/2);'21102';(4/2);
 3-12-1991;  2;25;28;34;42;48;30;8;(5/1);'10212';(2/4);
 2-12-1991;  6;14;17;18;35;47;25;8;(3/3);'13011';(4/2);
 1-12-1991; 10;11;14;21;47;48; 1;8;(3/3);'03102';(4/2);
27-11-1991;  3; 4;11;13;24;45;30;6;(2/4);'22101';(5/1);
26-11-1991;  2;22;27;35;38;45;28;6;(3/3);'10221';(2/4);
25-11-1991; 12;13;18;20;33;37;46;6;(3/3);'03120';(4/2);
24-11-1991; 15;28;34;37;41;49;35;6;(2/4);'01122';(1/5);
20-11-1991;  4; 6;18;20;23;42;30;7;(5/1);'21201';(5/1);
19-11-1991;  2; 4;16;21;33;42;35;7;(4/2);'21111';(4/2);
18-11-1991;  1; 2; 7;13;36;49;20;7;(2/4);'31011';(4/2);
17-11-1991;  6;13;24;25;29;49;17;7;(2/4);'11301';(4/2);
13-11-1991;  7;16;24;29;45;49; 4;2;(2/4);'11202';(3/3);
12-11-1991;  7;20;21;32;34;36;22;2;(4/2);'10230';(3/3);
11-11-1991;  2; 8;16;21;22;41;39;2;(4/2);'21201';(5/1);
10-11-1991; 13;22;31;42;43;44;35;2;(3/3);'01113';(2/4);
 6-11-1991; 17;24;30;37;40;48; 3;5;(4/2);'01122';(2/4);
 5-11-1991;  9;20;21;35;43;48;39;5;(2/4);'10212';(3/3);
 4-11-1991; 21;28;33;34;44;47; 7;5;(3/3);'00222';(1/5);
 3-11-1991;  3; 6; 9;11;32;38; 2;5;(3/3);'31020';(4/2);
30-10-1991;  2; 8;10;11;28;37;18;5;(4/2);'22110';(4/2);
29-10-1991; 14;15;19;25;35;42;17;5;(2/4);'03111';(4/2);
28-10-1991;  6;15;20;23;35;44;24;5;(3/3);'11211';(4/2);
27-10-1991;  2; 3;24;27;31;35;11;5;(2/4);'20220';(3/3);
23-10-1991;  1; 9;15;27;31;37;10;9;(0/6);'21120';(3/3);
22-10-1991;  7;14;20;21;29;31;19;9;(2/4);'11310';(4/2);
21-10-1991;  4;11;21;23;24;36;12;9;(3/3);'11310';(5/1);
20-10-1991; 22;24;34;38;41;49;47;9;(4/2);'00222';(2/4);
