
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2008

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2008; 10;26;34;37;46;48; 2;1;(5/1);'01122';(1/5);
30-12-2008;  4;15;16;18;34;44;49;7;(5/1);'13011';(4/2);
29-12-2008; 10;15;23;25;38;42;11;0;(3/3);'02211';(4/2);
26-12-2008; 28;30;34;37;40;45;42;5;(4/2);'00132';(0/6);
24-12-2008;  2; 5;12;15;22;30;39;0;(4/2);'22110';(5/1);
23-12-2008;  3;10;13;14;22;24;26;4;(4/2);'13200';(6/0);
22-12-2008;  2; 3; 9;21;43;44;24;3;(2/4);'30102';(4/2);
19-12-2008;  3;11;14;19;25;30;34;0;(2/4);'13110';(5/1);
17-12-2008;  1;13;14;27;39;46;23;5;(2/4);'12111';(3/3);
16-12-2008;  2; 8;11;14;30;47;38;5;(4/2);'22011';(4/2);
15-12-2008;  5; 8;10;15;31;42;20;4;(3/3);'22011';(4/2);
12-12-2008;  7;15;32;34;35;46;10;7;(3/3);'11031';(2/4);
10-12-2008; 12;21;27;30;42;44;43;7;(4/2);'01212';(2/4);
 9-12-2008;  2; 9;12;29;45;46; 4;1;(3/3);'21102';(3/3);
 8-12-2008;  3; 5;15;30;40;47;16;3;(2/4);'21012';(3/3);
 5-12-2008;  9;11;23;29;38;41;16;2;(1/5);'11211';(3/3);
 3-12-2008;  1; 7;25;31;39;44;22;4;(1/5);'20121';(3/3);
 2-12-2008;  4; 7;10;12;14;17; 2;7;(4/2);'24000';(6/0);
 1-12-2008; 13;14;15;25;40;46;16;4;(3/3);'03102';(4/2);
28-11-2008;  4;12;33;36;43;44; 5;4;(4/2);'11022';(2/4);
26-11-2008;  2; 5;35;36;47;48;37;6;(3/3);'20022';(2/4);
25-11-2008;  6;10;23;28;38;43;18;4;(4/2);'11211';(3/3);
24-11-2008;  2; 3;13;36;46;49;19;9;(3/3);'21012';(3/3);
21-11-2008;  8;14;18;22;25;40;34;3;(5/1);'12201';(5/1);
19-11-2008;  7;13;20;24;31;45;36;2;(2/4);'11211';(4/2);
18-11-2008;  8;23;36;37;42;46;24;6;(4/2);'10122';(2/4);
17-11-2008;  8;29;40;41;43;47;37;4;(2/4);'10104';(1/5);
14-11-2008;  1;10;18;27;31;46;35;3;(3/3);'12111';(3/3);
12-11-2008;  8;17;19;33;36;48;20;0;(3/3);'12021';(3/3);
11-11-2008;  3; 6;23;46;48;49;37;5;(3/3);'20103';(3/3);
10-11-2008;  3;11;18;25;37;45;44;9;(1/5);'12111';(4/2);
 7-11-2008;  4; 7;23;36;40;42; 3;8;(4/2);'20112';(3/3);
 5-11-2008;  7;13;20;26;48;49; 1;1;(3/3);'11202';(3/3);
 4-11-2008;  1;16;35;36;43;47;30;2;(2/4);'11022';(2/4);
 3-11-2008; 21;23;25;26;28;41;33;5;(2/4);'00501';(3/3);
31-10-2008; 20;22;27;33;35;40; 5;8;(3/3);'00321';(2/4);
29-10-2008;  3; 4;13;17;19;23;27;9;(1/5);'23100';(6/0);
28-10-2008;  1; 4; 7;28;35;46;41;5;(3/3);'30111';(3/3);
27-10-2008;  6; 7; 8;14;46;47;33;5;(4/2);'31002';(4/2);
24-10-2008; 17;25;33;41;46;49;22;6;(1/5);'01113';(2/4);
22-10-2008;  1;23;28;33;34;41;19;3;(2/4);'10221';(2/4);
21-10-2008;  6;11;25;35;47;48;17;4;(2/4);'11112';(3/3);
20-10-2008;  9;21;27;38;40;42;39;0;(3/3);'10212';(2/4);
17-10-2008;  8;22;27;31;38;39;13;6;(3/3);'10230';(2/4);
15-10-2008;  1; 2; 7;24;34;37; 3;1;(3/3);'30120';(4/2);
14-10-2008; 19;21;25;30;41;43;14;1;(1/5);'01212';(3/3);
13-10-2008; 12;17;24;37;44;45; 5;0;(3/3);'02112';(3/3);
10-10-2008; 14;23;34;38;45;47;13;7;(3/3);'01122';(2/4);
 8-10-2008; 17;22;26;32;43;47;35;6;(3/3);'01212';(2/4);
 7-10-2008;  4;17;18;27;29;46;25;3;(3/3);'12201';(3/3);
 6-10-2008;  6; 7;29;33;46;47; 3;2;(2/4);'20112';(2/4);
 3-10-2008;  8;26;30;38;40;49;20;5;(5/1);'10122';(1/5);
 1-10-2008;  3; 8;16;25;30;39;49;2;(3/3);'21120';(4/2);
30-09-2008;  2;17;26;32;35;39; 3;5;(3/3);'11130';(2/4);
29-09-2008;  5;14;16;17;20;29;40;7;(3/3);'13200';(5/1);
26-09-2008;  1; 8;16;19;22;34;24;8;(4/2);'22110';(5/1);
24-09-2008; 10;23;25;30;37;44;27;0;(3/3);'01221';(3/3);
23-09-2008;  4;14;19;21;34;41;25;3;(3/3);'12111';(4/2);
22-09-2008;  8;28;29;35;39;46;13;5;(3/3);'10221';(1/5);
19-09-2008;  6; 7;15;20;28;48;25;5;(4/2);'21201';(4/2);
17-09-2008;  9;21;30;32;33;47;25;0;(2/4);'10131';(2/4);
16-09-2008;  2;23;28;37;40;46;34;0;(4/2);'10212';(2/4);
15-09-2008; 12;14;21;23;28;47;20;9;(3/3);'02301';(4/2);
12-09-2008; 16;17;20;27;32;38;30;1;(4/2);'02220';(3/3);
10-09-2008; 19;20;22;34;36;37;41;2;(4/2);'01230';(3/3);
 9-09-2008;  7;26;37;39;45;47;23;7;(1/5);'10122';(1/5);
 8-09-2008;  8;14;16;23;27;38;17;8;(4/2);'12210';(4/2);
 5-09-2008; 10;12;13;18;21;33;39;6;(3/3);'04110';(5/1);
 3-09-2008;  1;12;15;16;32;34;42;3;(4/2);'13020';(4/2);
 2-09-2008;  3; 6; 9;10;11;15;40;8;(2/4);'33000';(6/0);
 1-09-2008;  1; 6;20;26;34;35;44;7;(4/2);'20220';(3/3);
29-08-2008;  1;10;22;39;48;49;12;3;(3/3);'11112';(3/3);
27-08-2008;  4; 8;11;17;28;41;16;5;(3/3);'22101';(4/2);
26-08-2008;  2; 4;12;26;34;43;42;8;(5/1);'21111';(3/3);
25-08-2008;  9;12;15;18;28;32; 7;8;(4/2);'13110';(4/2);
22-08-2008;  2; 4; 7;20;29;31;42;6;(3/3);'30210';(4/2);
20-08-2008; 10;24;27;28;29;49; 6;5;(3/3);'01401';(2/4);
19-08-2008;  7; 9;17;20;23;27;25;0;(1/5);'21300';(5/1);
18-08-2008;  4; 8;33;37;45;47;27;1;(2/4);'20022';(2/4);
15-08-2008;  6;12;20;23;34;45;49;6;(4/2);'11211';(4/2);
13-08-2008;  3; 4;21;37;38;48;31;2;(3/3);'20121';(3/3);
12-08-2008;  7;10;24;25;30;45; 2;8;(3/3);'11211';(4/2);
11-08-2008;  1; 7;11;19;20;23; 2;6;(1/5);'22200';(6/0);
 8-08-2008;  8;14;22;37;38;40;29;0;(5/1);'11121';(3/3);
 6-08-2008;  9;12;24;25;39;41;30;9;(2/4);'11211';(4/2);
 5-08-2008;  6;13;17;26;34;37; 3;1;(3/3);'12120';(3/3);
 4-08-2008; 10;29;31;39;42;47;14;2;(2/4);'01122';(1/5);
 1-08-2008; 10;15;17;19;29;30; 3;7;(2/4);'04110';(4/2);
30-07-2008;  1;18;22;28;32;36; 8;1;(5/1);'11220';(3/3);
29-07-2008;  3; 8;17;18;20;32;10;2;(4/2);'22110';(5/1);
28-07-2008;  1; 5; 6; 8;33;49; 4;7;(2/4);'40011';(4/2);
25-07-2008;  1;17;24;26;32;38; 6;1;(4/2);'11220';(3/3);
23-07-2008;  9;10;24;29;30;43;26;5;(3/3);'11211';(3/3);
22-07-2008; 13;16;29;37;40;46;42;7;(3/3);'02112';(2/4);
21-07-2008;  8;15;25;40;47;48; 2;6;(3/3);'11103';(3/3);
18-07-2008;  9;17;19;22;25;44;10;5;(2/4);'12201';(5/1);
16-07-2008; 22;23;28;33;34;42;12;5;(4/2);'00321';(2/4);
15-07-2008; 20;24;31;37;40;42;36;9;(4/2);'00222';(2/4);
14-07-2008; 17;19;24;26;28;33;47;7;(3/3);'02310';(3/3);
11-07-2008; 13;15;20;22;32;34;11;4;(4/2);'02220';(4/2);
 9-07-2008;  6;17;19;25;28;46;47;1;(3/3);'12201';(4/2);
 8-07-2008;  7;10;22;43;47;48;34;4;(3/3);'11103';(3/3);
 7-07-2008;  6;27;28;38;39;48;47;1;(4/2);'10221';(1/5);
 4-07-2008;  4; 5; 6;29;36;48; 7;7;(4/2);'30111';(3/3);
 2-07-2008; 13;15;18;21;35;44; 6;7;(2/4);'03111';(4/2);
 1-07-2008;  8;19;23;28;29;48;17;5;(3/3);'11301';(3/3);
30-06-2008; 20;24;28;29;46;48;25;9;(5/1);'00402';(2/4);
27-06-2008;  6; 8; 9;28;32;45;46;2;(4/2);'30111';(3/3);
25-06-2008;  5;20;31;32;39;47;14;5;(2/4);'10131';(2/4);
24-06-2008;  5;15;32;38;39;46;27;0;(3/3);'11031';(2/4);
23-06-2008; 14;18;19;27;31;49;43;8;(2/4);'03111';(3/3);
20-06-2008;  7;10;11;33;40;49; 3;4;(2/4);'12012';(3/3);
18-06-2008;  1; 6;10;19;29;40;26;3;(3/3);'22101';(4/2);
17-06-2008;  3; 5;10;26;34;41;48;7;(3/3);'21111';(3/3);
16-06-2008; 13;16;17;19;37;46; 7;1;(2/4);'04011';(4/2);
13-06-2008;  5; 9;15;18;33;37;48;3;(1/5);'22020';(4/2);
11-06-2008;  1; 5; 8;15;24;39;49;4;(2/4);'31110';(5/1);
10-06-2008;  4; 8;12;18;32;35;19;5;(5/1);'22020';(4/2);
 9-06-2008;  4;13;15;18;26;41;36;1;(3/3);'13101';(4/2);
 6-06-2008;  5;12;33;37;44;47;48;7;(2/4);'11022';(2/4);
