
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2020

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
 3-10-2020;  2;13;20;36;44;47; 7;4;(4/2);'11112';(3/3);
 2-10-2020;  4; 6; 9;24;29;49;37;7;(3/3);'30201';(4/2);
 1-10-2020;  4; 5;22;25;27;31; 3;0;(2/4);'20310';(4/2);
30-09-2020;  5; 8;16;33;37;39;38;2;(2/4);'21030';(3/3);
29-09-2020;  2; 5;31;43;47;49;15;5;(1/5);'20013';(2/4);
28-09-2020;  2; 3;13;36;41;45;21;9;(2/4);'21012';(3/3);
26-09-2020;  1; 8;17;27;39;40; 7;4;(2/4);'21111';(3/3);
25-09-2020;  2;20;32;41;42;45;33;9;(4/2);'10113';(2/4);
24-09-2020;  2; 5;26;36;41;44;43;0;(4/2);'20112';(2/4);
23-09-2020;  3;13;18;23;37;48;47;2;(2/4);'12111';(4/2);
22-09-2020;  4; 6;18;19;33;39; 3;2;(3/3);'22020';(4/2);
21-09-2020; 11;13;21;33;42;49;45;5;(1/5);'02112';(3/3);
19-09-2020;  1; 6;28;29;37;45; 2;5;(2/4);'20211';(2/4);
18-09-2020;  4; 9;23;24;27;38;22;6;(3/3);'20310';(4/2);
17-09-2020; 23;24;32;33;34;47;22;5;(3/3);'00231';(2/4);
16-09-2020;  1; 6;16;19;37;38;43;3;(3/3);'22020';(4/2);
15-09-2020; 14;23;25;31;37;47; 2;9;(1/5);'01221';(3/3);
14-09-2020;  7; 9;28;32;40;47; 4;4;(3/3);'20112';(2/4);
12-09-2020; 17;34;35;40;47;48; 3;4;(3/3);'01023';(1/5);
11-09-2020;  1; 3;10;38;48;49;29;4;(3/3);'21012';(3/3);
10-09-2020;  1;13;19;36;38;48;43;8;(3/3);'12021';(3/3);
 9-09-2020; 14;20;26;28;36;41;10;4;(5/1);'01311';(2/4);
 8-09-2020;  2; 8;18;34;36;38; 3;4;(6/0);'21030';(3/3);
 7-09-2020;  8;27;34;35;43;48;30;6;(3/3);'10122';(1/5);
 5-09-2020; 10;16;21;24;25;31;41;9;(3/3);'02310';(5/1);
 4-09-2020;  1;29;30;32;41;46;47;4;(3/3);'10122';(1/5);
 3-09-2020;  2;10;13;29;30;47; 3;0;(3/3);'12111';(3/3);
 2-09-2020;  6;16;28;43;44;45;48;5;(4/2);'11103';(2/4);
