
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2017

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
30-12-2017;  4; 9;26;28;37;43;21;0;(3/3);'20211';(2/4);
29-12-2017; 11;17;18;34;35;37;29;0;(2/4);'03030';(3/3);
28-12-2017; 13;18;21;24;33;41;23;0;(2/4);'02211';(4/2);
27-12-2017;  2; 8;14;21;24;36; 1;3;(5/1);'21210';(5/1);
26-12-2017; 17;23;27;45;48;49;44;2;(1/5);'01203';(2/4);
25-12-2017;  3;18;20;35;38;46; 7;0;(4/2);'11121';(3/3);
23-12-2017; 23;28;30;38;45;48;32;1;(4/2);'00222';(1/5);
22-12-2017;  3;14;16;17;31;46; 2;9;(3/3);'13011';(4/2);
21-12-2017; 10;22;23;25;36;37;15;4;(3/3);'01320';(4/2);
20-12-2017; 24;28;36;38;41;42; 1;6;(5/1);'00222';(1/5);
19-12-2017;  2;19;23;33;35;45;20;5;(1/5);'11121';(3/3);
18-12-2017; 20;32;33;45;47;49;19;3;(2/4);'00123';(1/5);
16-12-2017; 13;27;34;35;42;48;45;1;(3/3);'01122';(1/5);
15-12-2017;  8;10;15;27;41;43;30;7;(2/4);'12102';(3/3);
14-12-2017; 15;20;23;24;34;46;45;0;(4/2);'01311';(4/2);
13-12-2017; 11;12;33;36;37;44; 4;8;(3/3);'02031';(2/4);
12-12-2017;  2; 3; 9;16;48;49;18;8;(3/3);'31002';(4/2);
11-12-2017;  3;22;27;32;33;45;29;5;(2/4);'10221';(2/4);
 9-12-2017;  2;21;26;32;44;46;20;8;(5/1);'10212';(2/4);
 8-12-2017;  5; 9;10;14;41;42;46;8;(3/3);'22002';(4/2);
 7-12-2017; 12;16;19;23;32;49; 3;8;(3/3);'03111';(4/2);
 6-12-2017; 21;27;29;39;44;45;14;2;(1/5);'00312';(1/5);
 5-12-2017;  2; 9;10;23;33;42; 1;7;(3/3);'21111';(4/2);
 4-12-2017;  5;30;36;38;41;45;20;5;(3/3);'10032';(1/5);
 2-12-2017;  3;16;19;27;31;37;23;2;(1/5);'12120';(3/3);
 1-12-2017;  9;17;19;23;37;44;38;2;(1/5);'12111';(4/2);
30-11-2017;  4; 6;15;21;33;47;13;2;(2/4);'21111';(4/2);
29-11-2017;  3; 7; 9;14;29;40;22;2;(2/4);'31101';(4/2);
28-11-2017;  1; 4;23;25;28;48;33;7;(3/3);'20301';(4/2);
27-11-2017;  4; 6; 7;12;16;23; 1;1;(4/2);'32100';(6/0);
25-11-2017;  5; 8;25;29;34;40; 2;7;(3/3);'20211';(3/3);
24-11-2017;  4; 6;23;31;44;45; 3;4;(3/3);'20112';(3/3);
23-11-2017;  7;14;18;21;23;49; 9;9;(2/4);'12201';(5/1);
22-11-2017;  4;13;16;22;32;36;30;6;(5/1);'12120';(4/2);
21-11-2017;  7;32;34;35;41;49;30;1;(2/4);'10032';(1/5);
20-11-2017; 10;19;29;34;40;42;43;6;(4/2);'02112';(2/4);
18-11-2017; 16;20;36;37;38;39; 5;3;(4/2);'01140';(2/4);
17-11-2017;  9;10;33;40;41;42;21;3;(3/3);'11013';(2/4);
16-11-2017;  7;15;17;30;32;42;43;4;(3/3);'12021';(3/3);
15-11-2017;  2;10;37;39;45;46;48;9;(3/3);'11022';(2/4);
14-11-2017;  8; 9;14;36;37;39; 7;0;(3/3);'21030';(3/3);
13-11-2017;  2;19;40;45;47;48;28;0;(3/3);'11004';(2/4);
11-11-2017; 11;13;15;24;36;43;19;6;(2/4);'03111';(4/2);
10-11-2017;  6;24;32;46;47;48; 4;6;(5/1);'10113';(2/4);
 9-11-2017;  1; 9;10;19;23;28;45;8;(2/4);'22200';(5/1);
 8-11-2017; 12;18;21;29;39;48;43;3;(3/3);'02211';(3/3);
 7-11-2017;  7; 8;13;29;35;36;28;5;(2/4);'21120';(3/3);
 6-11-2017;  5;19;42;43;46;49;41;6;(2/4);'11004';(2/4);
 4-11-2017;  3; 6;23;28;40;42;22;3;(4/2);'20202';(3/3);
 3-11-2017;  2; 6;10;27;44;47;42;0;(4/2);'21102';(3/3);
 2-11-2017;  1; 8;13;19;21;40; 2;4;(2/4);'22101';(5/1);
 1-11-2017;  3;26;35;36;44;48; 7;8;(4/2);'10122';(1/5);
31-10-2017;  7;12;13;14;24;47;20;7;(3/3);'13101';(5/1);
30-10-2017;  1; 2;15;34;43;49;41;5;(2/4);'21012';(3/3);
28-10-2017;  5; 9;19;26;29;34;27;0;(2/4);'21210';(3/3);
27-10-2017;  7;11;19;21;33;35;43;3;(0/6);'12120';(4/2);
26-10-2017;  4;30;33;36;39;44;46;7;(4/2);'10041';(1/5);
25-10-2017;  4;10;28;36;45;48;41;3;(5/1);'11112';(2/4);
24-10-2017;  1;15;19;25;33;38; 8;0;(1/5);'12120';(4/2);
23-10-2017; 18;21;40;42;46;48;22;2;(5/1);'01104';(2/4);
21-10-2017; 17;21;34;35;45;46;22;4;(2/4);'01122';(2/4);
20-10-2017; 11;13;20;29;36;37; 6;8;(2/4);'02220';(3/3);
19-10-2017;  3; 6;14;27;31;32;34;6;(3/3);'21120';(3/3);
