
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2016

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2016;  3;21;22;24;38;45;23;4;(3/3);'10311';(4/2);
30-12-2016;  8;21;25;33;35;45; 4;5;(1/5);'10221';(3/3);
29-12-2016; 11;12;19;30;40;48;34;8;(4/2);'03012';(3/3);
28-12-2016;  2; 9;16;25;31;36;34;0;(3/3);'21120';(4/2);
27-12-2016; 12;13;22;23;47;48; 5;1;(3/3);'02202';(4/2);
26-12-2016;  3; 9;17;20;25;26;19;2;(2/4);'21300';(5/1);
24-12-2016; 10;21;26;33;36;37;27;9;(3/3);'01230';(2/4);
23-12-2016; 21;27;30;40;43;47; 9;5;(2/4);'00213';(1/5);
22-12-2016;  8;10;28;36;42;43;24;3;(5/1);'11112';(2/4);
21-12-2016;  3;20;26;27;44;46; 1;0;(4/2);'10302';(2/4);
20-12-2016; 15;20;23;35;41;47;10;4;(1/5);'01212';(3/3);
19-12-2016; 12;25;28;36;45;47;22;8;(3/3);'01212';(2/4);
17-12-2016;  2; 4;12;17;33;46;14;8;(4/2);'22011';(4/2);
16-12-2016;  4; 5;13;18;20;32; 3;4;(4/2);'22110';(5/1);
15-12-2016; 10;11;21;23;43;45; 8;7;(1/5);'02202';(4/2);
14-12-2016; 16;19;27;40;46;49;47;8;(3/3);'02103';(2/4);
13-12-2016;  9;19;38;45;47;48;11;7;(2/4);'11013';(2/4);
12-12-2016;  3; 7;31;35;42;49;24;4;(1/5);'20022';(2/4);
10-12-2016; 17;18;23;37;41;45; 7;8;(1/5);'02112';(3/3);
 9-12-2016; 25;26;30;34;37;40;48;4;(4/2);'00231';(1/5);
 8-12-2016;  8;11;21;29;32;41; 7;9;(2/4);'11211';(3/3);
 7-12-2016;  2; 8;15;33;34;38; 1;9;(4/2);'21030';(3/3);
 6-12-2016;  6;10;11;17;23;27;39;1;(2/4);'13200';(5/1);
 5-12-2016;  2; 5; 9;13;32;34;37;4;(3/3);'31020';(4/2);
 3-12-2016;  4; 8;24;41;43;45;44;3;(3/3);'20103';(3/3);
 2-12-2016;  3;22;27;28;38;40;31;6;(4/2);'10311';(2/4);
 1-12-2016;  2;25;28;33;37;48;38;1;(3/3);'10221';(2/4);
29-11-2016;  1; 7; 9;14;16;30;12;2;(3/3);'32010';(5/1);
28-11-2016;  7;20;21;30;45;49;31;5;(2/4);'10212';(3/3);
26-11-2016; 10;27;28;29;40;46;24;1;(4/2);'01302';(1/5);
25-11-2016;  9;10;15;22;37;46;47;9;(3/3);'12111';(4/2);
24-11-2016;  9;23;37;40;41;48; 4;8;(2/4);'10113';(2/4);
23-11-2016; 14;34;42;43;45;49;19;9;(3/3);'01014';(1/5);
22-11-2016;  8;14;16;36;37;42;28;4;(5/1);'12021';(3/3);
21-11-2016;  5; 7; 9;15;32;40;34;1;(2/4);'31011';(4/2);
19-11-2016;  2; 8; 9;13;22;25;45;3;(3/3);'31200';(6/0);
18-11-2016; 10;13;18;40;45;46;42;5;(4/2);'03003';(3/3);
17-11-2016;  9;19;22;28;30;37; 3;8;(3/3);'11220';(3/3);
16-11-2016;  2;25;28;36;39;48;43;8;(4/2);'10221';(2/4);
15-11-2016; 10;24;25;42;44;47;20;5;(4/2);'01203';(3/3);
14-11-2016;  4;23;37;38;46;48;33;8;(4/2);'10122';(2/4);
12-11-2016;  1; 8;21;32;34;41;26;5;(3/3);'20121';(3/3);
11-11-2016; 11;12;37;40;42;43; 7;9;(3/3);'02013';(2/4);
10-11-2016; 30;34;39;45;46;49; 3;6;(3/3);'00033';(0/6);
 9-11-2016;  4;10;14;31;37;43;24;1;(3/3);'12021';(3/3);
 8-11-2016; 18;20;36;41;48;49; 9;6;(4/2);'01113';(2/4);
 7-11-2016;  2; 3;12;28;45;47;34;6;(3/3);'21102';(3/3);
