
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2007

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2007;  6;15;18;24;39;42; 9;0;(4/2);'12111';(4/2);
28-12-2007;  9;15;22;23;30;31;21;2;(2/4);'11220';(4/2);
26-12-2007;  6;12;23;39;41;44; 2;3;(3/3);'11112';(3/3);
25-12-2007; 13;27;31;35;46;49;36;8;(1/5);'01122';(1/5);
24-12-2007;  3;13;19;26;30;34;43;0;(3/3);'12120';(3/3);
21-12-2007;  8;13;17;30;31;48;35;3;(3/3);'12021';(3/3);
19-12-2007;  8;17;19;20;39;42;24;1;(3/3);'12111';(4/2);
18-12-2007; 15;17;20;25;34;43;29;3;(2/4);'02211';(4/2);
17-12-2007;  9;12;31;36;38;39;16;3;(3/3);'11040';(2/4);
14-12-2007;  4;10;11;25;27;41;35;8;(2/4);'12201';(4/2);
12-12-2007;  1;17;20;24;27;32; 7;5;(3/3);'11310';(4/2);
11-12-2007;  3;14;22;25;28;34; 8;4;(4/2);'11310';(4/2);
10-12-2007;  6;26;28;33;40;45;25;5;(4/2);'10212';(1/5);
 7-12-2007;  1;17;27;37;41;42;19;5;(1/5);'11112';(2/4);
 5-12-2007;  7; 9;11;35;39;43; 2;5;(0/6);'21021';(3/3);
 4-12-2007;  5; 9;12;29;32;35;42;1;(2/4);'21120';(3/3);
 3-12-2007;  3; 5; 7;23;26;42;27;7;(2/4);'30201';(4/2);
30-11-2007;  7;23;33;41;43;46; 5;9;(1/5);'10113';(2/4);
28-11-2007;  3; 4;12;17;25;39;26;8;(2/4);'22110';(5/1);
27-11-2007;  1;15;23;24;36;38;27;3;(3/3);'11220';(4/2);
26-11-2007;  5;31;35;41;42;44;30;8;(2/4);'10023';(1/5);
23-11-2007;  2;14;17;21;24;37;30;0;(3/3);'12210';(5/1);
21-11-2007;  4;13;28;31;37;46;14;0;(3/3);'11121';(2/4);
20-11-2007;  6; 8;14;26;29;34;16;3;(5/1);'21210';(3/3);
19-11-2007;  1; 2;12;24;29;49;28;2;(3/3);'21201';(4/2);
16-11-2007;  9;11;16;21;31;47;38;0;(1/5);'12111';(4/2);
14-11-2007;  5;29;33;34;35;38;42;5;(2/4);'10140';(1/5);
13-11-2007;  2; 8;17;22;45;49;18;8;(3/3);'21102';(4/2);
12-11-2007;  3; 9;10;13;35;39;15;0;(1/5);'22020';(4/2);
 9-11-2007;  1; 7;11;12;22;39;49;9;(2/4);'22110';(5/1);
 7-11-2007;  7; 8;14;21;27;38;30;6;(3/3);'21210';(4/2);
 6-11-2007;  3;23;31;35;43;45;33;5;(0/6);'10122';(2/4);
 5-11-2007;  4;15;17;27;40;49; 2;2;(2/4);'12102';(3/3);
 2-11-2007; 12;17;28;29;30;44;33;6;(4/2);'02211';(2/4);
31-10-2007;  5; 6; 7;30;32;34;13;9;(4/2);'30030';(3/3);
30-10-2007;  9;11;12;19;22;45;40;1;(2/4);'13101';(5/1);
29-10-2007;  2; 5;10;14;20;39;32;1;(4/2);'22110';(5/1);
26-10-2007;  5; 8;24;28;31;44;27;3;(4/2);'20211';(3/3);
24-10-2007; 14;15;26;37;44;47;33;2;(3/3);'02112';(2/4);
23-10-2007;  1;16;22;38;42;46;43;3;(5/1);'11112';(3/3);
22-10-2007;  1; 9;10;12;42;44;31;8;(4/2);'22002';(4/2);
19-10-2007;  7;15;26;37;39;49;45;9;(1/5);'11121';(2/4);
17-10-2007; 17;21;27;30;34;47;38;5;(2/4);'01221';(2/4);
16-10-2007;  3; 9;15;21;24;48;43;3;(2/4);'21201';(5/1);
15-10-2007;  2; 5; 6;33;36;42;27;1;(4/2);'30021';(3/3);
12-10-2007;  2; 4;12;17;31;40;47;1;(4/2);'22011';(4/2);
10-10-2007;  1;34;43;44;47;49;33;1;(2/4);'10014';(1/5);
 9-10-2007;  6;19;21;27;39;46; 4;1;(2/4);'11211';(3/3);
 8-10-2007;  2; 4;18;22;41;46;13;0;(5/1);'21102';(4/2);
 5-10-2007; 15;28;41;44;45;48;10;3;(3/3);'01104';(1/5);
 3-10-2007; 10;15;16;37;44;47; 1;9;(3/3);'03012';(3/3);
 2-10-2007;  1; 4;13;21;30;42;16;3;(3/3);'21111';(4/2);
 1-10-2007;  3;14;15;25;37;44;35;1;(2/4);'12111';(4/2);
28-09-2007;  1; 4; 8;28;32;35;14;5;(4/2);'30120';(3/3);
26-09-2007; 17;29;31;34;43;44;47;0;(2/4);'01122';(1/5);
25-09-2007;  2; 7;11;15;21;37;34;7;(1/5);'22110';(5/1);
24-09-2007; 14;24;30;32;36;47; 4;9;(5/1);'01131';(2/4);
21-09-2007;  2;13;18;41;43;48;34;4;(3/3);'12003';(3/3);
19-09-2007;  6; 8;14;17;39;44;35;8;(4/2);'22011';(4/2);
18-09-2007;  1;14;18;22;44;47;34;5;(4/2);'12102';(4/2);
17-09-2007;  6;13;19;39;40;49; 1;4;(2/4);'12012';(3/3);
14-09-2007; 10;13;22;24;28;46;38;0;(5/1);'02301';(4/2);
12-09-2007;  3;20;34;42;47;48;37;7;(4/2);'10113';(2/4);
11-09-2007;  3;26;32;33;36;47;42;3;(3/3);'10131';(1/5);
10-09-2007;  3;15;24;27;37;40;19;9;(2/4);'11211';(3/3);
 7-09-2007; 26;35;38;39;40;42;12;4;(4/2);'00132';(0/6);
 5-09-2007;  3;14;24;39;42;48;31;3;(4/2);'11112';(3/3);
 4-09-2007;  2;14;18;31;35;38; 8;2;(4/2);'12030';(3/3);
 3-09-2007;  9;10;11;29;44;49;30;8;(2/4);'12102';(3/3);
31-08-2007;  6;10;12;27;35;36; 9;1;(4/2);'12120';(3/3);
29-08-2007;  3;12;18;25;28;29;37;3;(3/3);'12300';(4/2);
28-08-2007;  5; 8;26;38;42;43;34;4;(4/2);'20112';(2/4);
27-08-2007; 16;20;21;25;31;38;14;9;(3/3);'01320';(4/2);
24-08-2007; 12;22;37;38;40;46;15;0;(5/1);'01122';(2/4);
22-08-2007;  2;13;26;31;37;38;20;3;(3/3);'11130';(2/4);
21-08-2007; 21;22;31;32;33;39;30;3;(2/4);'00240';(2/4);
20-08-2007;  3;11;16;25;37;42;26;9;(2/4);'12111';(4/2);
17-08-2007;  5;10;16;20;21;34; 1;7;(4/2);'12210';(5/1);
15-08-2007;  5;15;20;28;43;48; 3;4;(3/3);'11202';(3/3);
14-08-2007;  3; 5;24;25;47;49; 7;0;(1/5);'20202';(4/2);
13-08-2007;  7;16;24;25;45;48; 8;9;(3/3);'11202';(4/2);
10-08-2007; 10;15;18;26;42;47;30;0;(4/2);'03102';(3/3);
 8-08-2007; 13;24;36;37;44;49;15;5;(3/3);'01122';(2/4);
 7-08-2007;  2;18;21;27;29;37;48;7;(2/4);'11310';(3/3);
 6-08-2007;  2; 6;22;30;31;34;36;8;(5/1);'20130';(3/3);
 3-08-2007; 12;17;23;25;26;33;41;5;(2/4);'02310';(4/2);
 1-08-2007; 13;22;25;35;45;47;30;9;(1/5);'01212';(3/3);
31-07-2007;  5;12;21;28;30;33;38;7;(3/3);'11220';(3/3);
30-07-2007;  3;17;21;28;34;40;46;3;(3/3);'11211';(3/3);
27-07-2007;  1;10;24;36;40;47; 6;6;(4/2);'11112';(3/3);
25-07-2007;  5;12;19;29;47;48; 8;9;(2/4);'12102';(3/3);
24-07-2007; 11;16;27;40;41;46;42;4;(3/3);'02103';(2/4);
23-07-2007;  6; 7;21;34;42;46;24;9;(4/2);'20112';(3/3);
20-07-2007;  3;10;22;26;30;37;45;6;(4/2);'11220';(3/3);
18-07-2007;  5; 7;16;19;30;44;20;3;(3/3);'22011';(4/2);
17-07-2007;  3;14;15;23;27;49; 9;9;(1/5);'12201';(4/2);
16-07-2007; 12;17;24;31;36;46;11;8;(4/2);'02121';(3/3);
13-07-2007; 26;28;35;38;41;46;33;3;(4/2);'00222';(0/6);
11-07-2007; 26;28;36;39;47;49;23;3;(3/3);'00222';(0/6);
10-07-2007;  4;10;15;23;38;41;22;9;(3/3);'12111';(4/2);
 9-07-2007;  6;14;21;30;40;46;48;0;(5/1);'11112';(3/3);
 6-07-2007;  9;10;17;22;24;26;27;3;(4/2);'12300';(5/1);
 4-07-2007;  3; 8;11;20;21;29; 5;8;(2/4);'21300';(5/1);
 3-07-2007; 15;17;22;23;34;41;25;0;(2/4);'02211';(4/2);
 2-07-2007;  9;20;21;22;33;39;46;2;(2/4);'10320';(4/2);
29-06-2007;  1; 4;27;33;44;46;18;7;(3/3);'20112';(2/4);
27-06-2007;  4;22;28;30;44;45;18;9;(5/1);'10212';(2/4);
26-06-2007; 13;16;31;34;39;47;45;4;(2/4);'02031';(2/4);
25-06-2007;  7;14;19;21;35;49;37;3;(1/5);'12111';(4/2);
22-06-2007;  5;11;12;38;41;46;36;0;(3/3);'12012';(3/3);
20-06-2007;  1; 6;11;33;43;48;25;1;(2/4);'21012';(3/3);
19-06-2007;  7;16;21;24;41;42; 2;1;(3/3);'11202';(4/2);
18-06-2007; 11;14;17;30;33;41;46;3;(2/4);'03021';(3/3);
15-06-2007; 11;14;15;32;35;46;47;3;(3/3);'03021';(3/3);
13-06-2007;  7; 8;12;17;32;40;26;6;(4/2);'22011';(4/2);
12-06-2007;  1; 2; 7;22;31;43; 8;0;(2/4);'30111';(4/2);
11-06-2007;  5;12;14;26;36;48;40;2;(5/1);'12111';(3/3);
 8-06-2007;  3; 4; 8;17;33;47;44;0;(2/4);'31011';(4/2);
 6-06-2007;  9;20;23;28;35;41;30;0;(2/4);'10311';(3/3);
 5-06-2007;  6;25;33;35;37;45; 7;9;(1/5);'10131';(2/4);
 4-06-2007; 18;27;30;38;41;48;29;6;(4/2);'01122';(1/5);
 1-06-2007;  4;21;23;26;43;44;17;7;(3/3);'10302';(3/3);
30-05-2007;  9;19;23;28;37;43;42;0;(1/5);'11211';(3/3);
29-05-2007; 12;16;17;29;44;48; 9;5;(4/2);'03102';(3/3);
28-05-2007; 20;23;25;26;29;36;16;2;(3/3);'00510';(3/3);
25-05-2007;  8;11;16;27;33;48; 3;6;(3/3);'12111';(3/3);
23-05-2007;  7; 9;29;35;44;46;18;1;(2/4);'20112';(2/4);
22-05-2007;  8; 9;11;15;27;37;35;1;(1/5);'22110';(4/2);
21-05-2007;  7; 9;20;31;37;41;39;1;(1/5);'20121';(3/3);
18-05-2007; 10;16;22;27;35;37;49;2;(3/3);'02220';(3/3);
16-05-2007; 15;16;23;33;42;43;25;3;(2/4);'02112';(3/3);
15-05-2007;  6; 7;12;25;30;31;48;9;(3/3);'21120';(4/2);
14-05-2007; 13;29;30;32;37;49;35;2;(2/4);'01131';(1/5);
11-05-2007;  1;13;18;38;47;49;21;9;(2/4);'12012';(3/3);
 9-05-2007;  6; 7;19;27;33;46;23;8;(2/4);'21111';(3/3);
 8-05-2007;  3;37;39;40;41;47;18;4;(1/5);'10023';(1/5);
 7-05-2007;  7;12;18;20;29;45; 1;5;(3/3);'12201';(4/2);
 4-05-2007;  5; 8;13;21;39;46;16;4;(2/4);'21111';(4/2);
 2-05-2007;  3;17;25;26;28;41;30;9;(2/4);'11301';(3/3);
 1-05-2007;  8;12;14;25;27;47;31;6;(3/3);'12201';(4/2);
30-04-2007;  8;12;14;24;38;42; 4;1;(6/0);'12111';(4/2);
27-04-2007; 20;21;25;33;45;49;12;7;(1/5);'00312';(3/3);
25-04-2007;  8;10;18;22;41;45;35;9;(4/2);'12102';(4/2);
24-04-2007; 30;35;37;38;46;48;35;4;(4/2);'00042';(0/6);
23-04-2007;  1; 3;15;17;22;46;29;8;(2/4);'22101';(5/1);
20-04-2007; 13;27;34;37;43;45;12;0;(1/5);'01122';(1/5);
18-04-2007;  3; 5; 6; 9;16;32;49;0;(3/3);'41010';(5/1);
17-04-2007;  1;27;33;34;45;47;26;5;(1/5);'10122';(1/5);
16-04-2007;  8;11;15;24;41;46;44;4;(3/3);'12102';(4/2);
13-04-2007;  7; 8;11;28;32;39; 5;8;(3/3);'21120';(3/3);
11-04-2007; 10;18;30;38;39;47;35;1;(4/2);'02031';(2/4);
10-04-2007;  9;18;33;39;42;44; 5;3;(3/3);'11022';(2/4);
