
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2015

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2015;  5;15;20;25;43;48;34;9;(2/4);'11202';(4/2);
30-12-2015;  3;18;27;33;34;42;13;6;(3/3);'11121';(2/4);
29-12-2015;  5; 7;13;30;34;45;46;2;(2/4);'21021';(3/3);
28-12-2015;  8;12;27;35;36;48; 6;9;(4/2);'11121';(2/4);
26-12-2015;  2;18;24;35;38;44;23;6;(5/1);'11121';(3/3);
25-12-2015;  2; 5;19;21;27;49;22;3;(1/5);'21201';(4/2);
24-12-2015;  3;13;27;36;45;48; 1;1;(2/4);'11112';(2/4);
23-12-2015;  4;12;17;24;31;49;38;4;(3/3);'12111';(4/2);
22-12-2015;  5; 6; 8;23;36;42;48;7;(4/2);'30111';(4/2);
21-12-2015;  6;12;16;19;28;32;14;4;(5/1);'13110';(4/2);
19-12-2015; 16;20;27;32;33;47;39;1;(3/3);'01221';(2/4);
18-12-2015;  1;14;15;29;34;49;20;9;(2/4);'12111';(3/3);
17-12-2015;  3; 8;24;40;46;48;49;2;(5/1);'20103';(3/3);
16-12-2015; 16;19;27;31;43;49;38;8;(1/5);'02112';(2/4);
15-12-2015; 18;28;36;38;42;48;46;1;(6/0);'01122';(1/5);
14-12-2015;  5; 9;10;20;31;43;47;5;(2/4);'21111';(4/2);
12-12-2015;  2;26;30;39;40;47;11;8;(4/2);'10122';(1/5);
11-12-2015;  2;18;23;37;45;47; 3;4;(2/4);'11112';(3/3);
10-12-2015;  4;13;30;34;42;43;22;7;(4/2);'11022';(2/4);
 9-12-2015;  7; 8;32;42;45;46; 9;2;(4/2);'20013';(2/4);
 7-12-2015;  6;11;13;22;32;41; 3;2;(3/3);'12111';(4/2);
 5-12-2015;  3;15;23;27;35;38;42;5;(1/5);'11220';(3/3);
 4-12-2015; 12;16;24;32;38;44;20;0;(6/0);'02121';(3/3);
 3-12-2015;  4;12;16;17;45;46;39;3;(4/2);'13002';(4/2);
 2-12-2015;  5;12;14;17;24;43; 7;2;(3/3);'13101';(5/1);
 1-12-2015;  8;11;19;22;30;36;26;6;(4/2);'12120';(4/2);
30-11-2015;  4; 6;24;26;36;39; 9;9;(5/1);'20220';(3/3);
28-11-2015;  3; 8;10;34;44;48;28;7;(5/1);'21012';(3/3);
