
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1994

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
30-12-1994;  2; 4;20;40;43;48;45;2;(5/1);'20103';(3/3);
28-12-1994;  6;30;33;35;39;49;22;1;(2/4);'10041';(1/5);
27-12-1994;  7;19;32;33;34;41;27;1;(2/4);'11031';(2/4);
26-12-1994;  3;14;17;26;42;43;28;5;(3/3);'12102';(3/3);
23-12-1994;  3;24;31;41;43;48;33;4;(2/4);'10113';(2/4);
21-12-1994;  4; 6; 7;17;39;46;23;2;(3/3);'31011';(4/2);
20-12-1994;  2; 3; 6;36;37;47; 4;0;(3/3);'30021';(3/3);
19-12-1994; 13;15;29;42;46;49;44;9;(2/4);'02103';(2/4);
16-12-1994; 14;21;33;36;43;48;24;9;(3/3);'01122';(2/4);
14-12-1994;  7;13;25;30;31;35;18;9;(1/5);'11130';(3/3);
13-12-1994; 10;15;26;27;34;49;43;7;(3/3);'02211';(2/4);
12-12-1994;  2; 6;17;33;41;44;30;0;(3/3);'21012';(3/3);
 9-12-1994; 11;12;27;30;44;48;39;8;(4/2);'02112';(2/4);
 7-12-1994; 10;13;17;30;40;45; 5;0;(3/3);'03012';(3/3);
 6-12-1994;  2; 4; 7;20;39;44;10;2;(4/2);'30111';(4/2);
 5-12-1994; 12;18;35;36;43;48;49;2;(4/2);'02022';(2/4);
 2-12-1994;  5;24;25;26;41;42;19;1;(3/3);'10302';(3/3);
30-11-1994;  2; 6;26;31;33;41;22;1;(3/3);'20121';(2/4);
29-11-1994;  1;20;27;31;39;47;41;0;(1/5);'10221';(2/4);
28-11-1994;  2;14;29;38;39;40;20;5;(4/2);'11121';(2/4);
25-11-1994;  2; 3;15;30;32;40;24;1;(4/2);'21021';(3/3);
23-11-1994;  1; 6; 8;25;26;43; 7;5;(3/3);'30201';(4/2);
22-11-1994;  9;19;27;32;42;45;14;0;(2/4);'11112';(2/4);
21-11-1994; 11;21;23;41;46;48;36;1;(2/4);'01203';(3/3);
18-11-1994;  4;33;35;41;48;49;20;5;(2/4);'10023';(1/5);
16-11-1994;  7;24;33;34;43;46;10;9;(3/3);'10122';(2/4);
15-11-1994;  8;28;34;35;39;49;21;4;(3/3);'10131';(1/5);
14-11-1994;  3;11;28;32;42;44;40;2;(4/2);'11112';(2/4);
11-11-1994;  5; 9;19;20;28;45;21;4;(2/4);'21201';(4/2);
 9-11-1994;  7;13;23;37;38;43;12;9;(1/5);'11121';(3/3);
 8-11-1994; 10;12;19;29;43;45;46;9;(2/4);'03102';(3/3);
 7-11-1994; 17;22;24;32;36;44;27;2;(5/1);'01221';(3/3);
 4-11-1994; 14;24;27;31;32;40;46;5;(4/2);'01221';(2/4);
 2-11-1994;  5; 6; 7;13;28;39; 9;6;(2/4);'31110';(4/2);
 1-11-1994;  4; 6; 8;37;43;44;33;8;(4/2);'30012';(3/3);
31-10-1994;  2;32;33;42;44;48;15;8;(5/1);'10023';(1/5);
28-10-1994;  9;13;21;22;37;39;47;1;(1/5);'11220';(4/2);
26-10-1994;  1;12;32;36;44;49;20;5;(4/2);'11022';(2/4);
25-10-1994; 10;14;23;27;39;46;17;4;(3/3);'02211';(3/3);
24-10-1994; 11;12;21;31;33;45;17;1;(1/5);'02121';(3/3);
21-10-1994;  4; 7; 8;14;26;39;29;5;(4/2);'31110';(4/2);
19-10-1994; 21;24;30;38;45;46;39;3;(4/2);'00222';(2/4);
18-10-1994;  9;12;15;22;28;47;29;2;(3/3);'12201';(4/2);
17-10-1994; 25;31;32;40;41;43; 2;0;(2/4);'00123';(1/5);
14-10-1994;  7; 8; 9;29;34;39;48;7;(2/4);'30120';(3/3);
12-10-1994;  1; 2;28;40;44;48;31;9;(5/1);'20103';(2/4);
11-10-1994;  4;16;31;35;41;44; 8;5;(3/3);'11022';(2/4);
10-10-1994;  5;16;19;23;40;47;14;8;(2/4);'12102';(4/2);
 7-10-1994;  8;22;28;37;38;41;20;2;(4/2);'10221';(2/4);
 5-10-1994;  9;11;31;33;35;39;26;2;(0/6);'11040';(2/4);
 4-10-1994;  1; 2;13;26;32;43;15;4;(3/3);'21111';(3/3);
