
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1999

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-1999;  4; 7;25;30;43;49;21;2;(2/4);'20112';(3/3);
29-12-1999;  4; 8;19;21;23;43;32;9;(2/4);'21201';(5/1);
28-12-1999;  2; 9;17;28;39;40;26;6;(3/3);'21111';(3/3);
27-12-1999;  2; 4;11;13;27;48;15;7;(3/3);'22101';(4/2);
24-12-1999; 11;23;26;29;32;47;43;4;(2/4);'01311';(2/4);
22-12-1999; 22;25;27;29;34;42; 5;8;(3/3);'00411';(2/4);
21-12-1999;  5; 8;14;33;34;42;25;8;(4/2);'21021';(3/3);
20-12-1999;  7;16;28;30;31;35;40;6;(3/3);'11130';(2/4);
17-12-1999;  1;26;31;36;37;48;16;0;(3/3);'10131';(1/5);
15-12-1999;  7;24;29;33;36;39;35;9;(2/4);'10230';(2/4);
14-12-1999; 10;13;14;37;46;49; 8;9;(3/3);'03012';(3/3);
13-12-1999;  7;13;24;28;33;39;14;2;(2/4);'11220';(3/3);
10-12-1999;  8;25;26;30;38;43;40;8;(4/2);'10221';(2/4);
 8-12-1999;  3; 9;18;41;43;49; 2;9;(1/5);'21003';(3/3);
 7-12-1999;  8;25;30;38;44;45;23;1;(4/2);'10122';(2/4);
 6-12-1999;  6;10;13;26;30;40;15;1;(5/1);'12111';(3/3);
 3-12-1999;  4;10;32;41;42;47;39;1;(4/2);'11013';(2/4);
 1-12-1999;  7;14;17;25;33;35;19;1;(1/5);'12120';(4/2);
30-11-1999;  2;14;21;27;32;45;22;2;(3/3);'11211';(3/3);
29-11-1999;  9;18;23;28;38;41;11;7;(3/3);'11211';(3/3);
26-11-1999;  2;13;16;19;21;35; 6;6;(2/4);'13110';(5/1);
24-11-1999;  7;19;29;44;47;48;15;8;(2/4);'11103';(2/4);
23-11-1999;  9;10;30;33;34;40;17;5;(4/2);'11031';(2/4);
22-11-1999;  1;16;25;31;33;36; 5;8;(2/4);'11130';(3/3);
19-11-1999; 12;15;19;22;25;41;16;3;(2/4);'03201';(5/1);
17-11-1999;  5; 8; 9;28;35;49;26;7;(2/4);'30111';(3/3);
16-11-1999; 15;36;37;39;40;45;22;3;(2/4);'01032';(1/5);
15-11-1999;  2; 6; 8;15;33;41; 5;1;(3/3);'31011';(4/2);
12-11-1999;  1;15;18;29;44;48;38;0;(3/3);'12102';(3/3);
10-11-1999;  8;20;22;31;33;48;32;2;(4/2);'10221';(3/3);
 9-11-1999;  4; 9;16;21;41;49;40;7;(2/4);'21102';(4/2);
 8-11-1999;  6; 9;16;23;36;41;27;3;(3/3);'21111';(4/2);
 5-11-1999;  6;11;19;21;42;49;22;5;(2/4);'12102';(4/2);
 3-11-1999; 31;36;39;42;43;47;20;9;(2/4);'00033';(0/6);
 2-11-1999; 17;18;21;24;32;49;11;8;(3/3);'02211';(4/2);
 1-11-1999;  5;18;21;27;35;45;30;0;(1/5);'11211';(3/3);
29-10-1999;  9;14;15;20;36;49;35;5;(3/3);'12111';(4/2);
27-10-1999;  6;12;17;27;29;44;43;1;(3/3);'12201';(3/3);
26-10-1999; 10;13;15;35;47;49;46;1;(1/5);'03012';(3/3);
25-10-1999;  3;15;16;26;32;40;13;6;(4/2);'12111';(3/3);
22-10-1999;  6; 7;21;28;34;43;40;1;(3/3);'20211';(3/3);
20-10-1999;  3; 7;16;39;41;43;17;1;(1/5);'21012';(3/3);
19-10-1999;  1; 6;23;34;46;48;26;4;(4/2);'20112';(3/3);
18-10-1999;  4;16;35;37;39;42; 5;6;(3/3);'11031';(2/4);
15-10-1999;  3;14;17;22;28;41;34;0;(3/3);'12201';(4/2);
13-10-1999;  7; 8;23;35;39;43;36;3;(1/5);'20121';(3/3);
12-10-1999;  5;16;19;33;38;45; 7;1;(2/4);'12021';(3/3);
11-10-1999;  1; 7;15;21;34;46; 6;4;(2/4);'21111';(4/2);
 8-10-1999; 14;26;30;36;42;49; 1;1;(5/1);'01122';(1/5);
 6-10-1999; 17;23;26;28;33;39;45;5;(2/4);'01320';(2/4);
 5-10-1999; 11;13;22;24;31;46;49;3;(3/3);'02211';(4/2);
 4-10-1999;  1; 2;17;18;25;48;19;6;(3/3);'22101';(5/1);
 1-10-1999; 13;14;21;24;32;48;43;6;(4/2);'02211';(4/2);
29-09-1999;  5; 6; 7; 8;13;19;43;7;(2/4);'42000';(6/0);
28-09-1999;  9;30;32;42;45;49;24;1;(3/3);'10023';(1/5);
27-09-1999; 12;19;20;32;44;48;37;8;(5/1);'02112';(3/3);
24-09-1999;  4;11;28;34;37;43;14;4;(3/3);'11121';(2/4);
22-09-1999;  5;16;22;34;41;46;19;4;(4/2);'11112';(3/3);
21-09-1999;  3; 9;13;29;32;43;42;1;(1/5);'21111';(3/3);
20-09-1999;  2;11;14;15;19;28;13;3;(3/3);'14100';(5/1);
17-09-1999;  7; 8;10;30;39;44;19;8;(4/2);'21021';(3/3);
15-09-1999; 12;14;19;23;44;48;43;2;(4/2);'03102';(4/2);
14-09-1999;  7; 9;32;36;39;41;23;1;(2/4);'20031';(2/4);
13-09-1999;  1; 6;23;31;37;46; 8;4;(2/4);'20121';(3/3);
10-09-1999; 16;18;26;28;37;39;44;6;(4/2);'02220';(2/4);
 8-09-1999;  4; 6;13;23;31;48;27;0;(3/3);'21111';(4/2);
 7-09-1999;  1; 8;17;22;24;36;12;7;(4/2);'21210';(5/1);
 6-09-1999;  2; 3;14;21;36;49;32;8;(3/3);'21111';(4/2);
 3-09-1999;  2; 3;31;32;35;41; 5;0;(2/4);'20031';(2/4);
 1-09-1999; 11;16;23;36;42;49;30;1;(3/3);'02112';(3/3);
31-08-1999; 11;18;28;34;40;41;43;1;(4/2);'02112';(2/4);
30-08-1999;  2; 8;31;37;47;49;28;2;(2/4);'20022';(2/4);
27-08-1999;  5;13;21;27;31;42; 7;6;(1/5);'11211';(3/3);
25-08-1999;  4;13;16;17;42;47;24;0;(3/3);'13002';(4/2);
24-08-1999;  2;13;14;16;22;24;28;1;(5/1);'13200';(6/0);
23-08-1999; 17;24;25;30;41;42;32;9;(3/3);'01212';(3/3);
20-08-1999; 18;26;31;33;34;42; 5;5;(4/2);'01131';(1/5);
18-08-1999;  9;13;26;40;43;49;16;0;(2/4);'11103';(2/4);
17-08-1999;  1;19;30;32;37;44;43;0;(3/3);'11031';(2/4);
16-08-1999;  1;21;22;28;34;38; 3;9;(4/2);'10320';(3/3);
13-08-1999;  3;24;33;40;43;47;20;7;(2/4);'10113';(2/4);
11-08-1999;  5;18;38;40;41;42; 2;4;(4/2);'11013';(2/4);
10-08-1999; 12;18;29;30;32;37;34;8;(4/2);'02130';(2/4);
 9-08-1999; 13;14;19;22;27;38;25;8;(3/3);'03210';(4/2);
 6-08-1999; 10;11;17;26;48;49; 1;0;(3/3);'03102';(3/3);
 4-08-1999;  4;12;15;30;41;47;35;5;(3/3);'12012';(3/3);
 3-08-1999;  8;16;24;30;37;49;26;5;(4/2);'11121';(3/3);
 2-08-1999; 17;24;30;36;46;47;45;5;(4/2);'01122';(2/4);
30-07-1999; 19;32;36;39;41;43;33;5;(2/4);'01032';(1/5);
28-07-1999;  4; 6; 7;32;35;39;25;6;(3/3);'30030';(3/3);
27-07-1999; 16;20;38;40;44;47;48;6;(5/1);'01113';(2/4);
26-07-1999; 16;19;21;32;37;45;26;4;(2/4);'02121';(3/3);
23-07-1999;  5;28;32;33;34;42; 9;5;(4/2);'10131';(1/5);
21-07-1999;  5; 6; 7;11;12;28;48;7;(3/3);'32100';(5/1);
