
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1989

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-1989; 15;20;30;32;36;46;17;0;(5/1);'01131';(2/4);
27-12-1989;  4; 9;20;21;25;27;10;0;(2/4);'20400';(5/1);
26-12-1989; 35;36;37;40;47;48;21;0;(3/3);'00033';(0/6);
25-12-1989;  2; 7;12;13;30;47;29;0;(3/3);'22011';(4/2);
24-12-1989;  7;15;16;24;31;43;10;0;(2/4);'12111';(4/2);
20-12-1989; 10;26;33;34;38;44;22;0;(5/1);'01131';(1/5);
19-12-1989; 13;24;32;36;37;42;23;0;(4/2);'01131';(2/4);
18-12-1989; 19;32;35;36;40;49;30;0;(3/3);'01032';(1/5);
17-12-1989; 11;20;26;30;39;47;40;0;(3/3);'01221';(2/4);
13-12-1989;  8;29;33;40;46;49;19;0;(3/3);'10113';(1/5);
12-12-1989;  6;13;20;30;37;47;33;0;(3/3);'11121';(3/3);
11-12-1989;  6; 7;16;17;18;38;13;0;(4/2);'23010';(5/1);
10-12-1989;  6; 7;24;25;44;48;36;0;(4/2);'20202';(4/2);
 6-12-1989; 11;17;34;37;42;46;18;0;(3/3);'02022';(2/4);
 5-12-1989;  9;18;23;26;36;40;19;0;(4/2);'11211';(3/3);
 4-12-1989;  2;25;29;33;34;45; 9;0;(2/4);'10221';(2/4);
 3-12-1989;  5;15;23;31;40;42;39;0;(2/4);'11112';(3/3);
29-11-1989;  2;13;20;27;31;44;40;0;(3/3);'11211';(3/3);
28-11-1989;  5;14;19;29;30;32; 8;0;(3/3);'12120';(3/3);
27-11-1989;  1;18;21;33;34;43; 4;0;(2/4);'11121';(3/3);
26-11-1989;  6; 9;34;40;42;44;25;0;(5/1);'20013';(2/4);
22-11-1989;  7;19;27;31;37;41;21;0;(0/6);'11121';(2/4);
21-11-1989;  2;19;36;37;44;49; 5;0;(3/3);'11022';(2/4);
20-11-1989; 10;15;23;25;31;34;42;0;(2/4);'02220';(4/2);
19-11-1989;  3; 9;18;27;41;42; 5;0;(2/4);'21102';(3/3);
15-11-1989;  2; 9;15;28;34;46;38;0;(4/2);'21111';(3/3);
14-11-1989; 13;30;32;37;40;41;25;0;(3/3);'01032';(1/5);
13-11-1989;  9;15;20;23;36;46;10;0;(3/3);'11211';(4/2);
12-11-1989;  1; 6;18;33;34;42;24;0;(4/2);'21021';(3/3);
 8-11-1989;  2; 5;10;12;21;25;47;0;(3/3);'22200';(6/0);
 7-11-1989;  1; 2; 7;28;30;43;27;0;(3/3);'30111';(3/3);
 6-11-1989;  2;21;27;31;33;45;20;0;(1/5);'10221';(2/4);
 5-11-1989;  3;12;21;30;42;48; 4;0;(4/2);'11112';(3/3);
 1-11-1989;  1;18;21;30;33;40;48;0;(3/3);'11121';(3/3);
31-10-1989;  2;11;23;41;45;46;30;0;(2/4);'11103';(3/3);
30-10-1989;  4; 5;12;30;33;34;26;0;(4/2);'21030';(3/3);
29-10-1989;  8;19;34;35;42;43;36;0;(3/3);'11022';(2/4);
25-10-1989;  2; 5;10;17;29;30;26;0;(3/3);'22110';(4/2);
24-10-1989;  1;10;11;20;22;30; 3;0;(4/2);'12210';(5/1);
23-10-1989; 11;12;17;23;24;49; 6;0;(2/4);'03201';(5/1);
22-10-1989; 11;17;21;25;38;49; 9;0;(1/5);'02211';(4/2);
18-10-1989; 12;20;22;24;40;42;31;0;(6/0);'01302';(4/2);
17-10-1989;  3; 8;11;16;31;39;46;0;(2/4);'22020';(4/2);
16-10-1989;  2; 3;17;22;30;42;31;0;(4/2);'21111';(4/2);
15-10-1989;  8;26;31;33;34;36;19;0;(4/2);'10140';(1/5);
11-10-1989;  9;19;28;30;39;41; 1;0;(2/4);'11121';(2/4);
10-10-1989;  1; 2; 8;25;27;43; 7;0;(2/4);'30201';(4/2);
 9-10-1989;  5;14;23;27;42;46;15;0;(3/3);'11202';(3/3);
 8-10-1989;  2;14;24;25;27;40;15;0;(4/2);'11301';(4/2);
 4-10-1989;  5; 8;16;19;42;48; 3;0;(4/2);'22002';(4/2);
 3-10-1989; 14;18;27;32;35;47;37;0;(3/3);'02121';(2/4);
 2-10-1989;  6;17;32;35;39;43;26;0;(2/4);'11031';(2/4);
 1-10-1989; 16;31;33;34;38;49;24;0;(3/3);'01041';(1/5);
27-09-1989;  4;22;31;36;39;47;14;0;(3/3);'10131';(2/4);
26-09-1989;  1;18;21;22;26;41;42;0;(3/3);'11301';(4/2);
25-09-1989; 25;29;37;41;46;48;45;0;(2/4);'00213';(1/5);
24-09-1989; 13;14;15;24;37;43;30;0;(2/4);'03111';(4/2);
20-09-1989; 15;16;34;35;42;45;31;0;(3/3);'02022';(2/4);
19-09-1989;  2;11;16;22;33;39;34;0;(3/3);'12120';(4/2);
18-09-1989; 15;34;38;39;46;47;23;0;(3/3);'01032';(1/5);
17-09-1989; 19;28;29;32;40;44;17;0;(4/2);'01212';(1/5);
13-09-1989; 14;23;30;35;36;49;16;0;(3/3);'01131';(2/4);
12-09-1989;  6;39;42;44;45;46;12;0;(4/2);'10014';(1/5);
11-09-1989;  1; 6; 8;12;27;29; 2;0;(3/3);'31200';(4/2);
10-09-1989;  2; 7;15;23;34;36;24;0;(3/3);'21120';(4/2);
 6-09-1989;  1; 4; 5; 8;40;42;24;0;(4/2);'40002';(4/2);
 5-09-1989;  5;10;11;16;32;37; 9;0;(3/3);'13020';(4/2);
 4-09-1989; 27;30;40;46;48;49;29;0;(4/2);'00114';(0/6);
 3-09-1989;  1;14;19;22;40;47;23;0;(3/3);'12102';(4/2);
30-08-1989;  5;13;18;39;40;43;15;0;(2/4);'12012';(3/3);
29-08-1989;  2;12;33;37;39;47;14;0;(2/4);'11031';(2/4);
28-08-1989;  5;17;29;31;41;42;18;0;(1/5);'11112';(2/4);
27-08-1989;  8;22;32;36;38;44;18;0;(6/0);'10131';(2/4);
23-08-1989;  5;23;25;27;30;31;32;0;(1/5);'10320';(3/3);
22-08-1989;  2; 5;18;21;27;35;33;0;(2/4);'21210';(4/2);
21-08-1989;  3;15;17;19;39;42; 1;0;(1/5);'13011';(4/2);
20-08-1989;  9;18;19;28;33;44;30;0;(3/3);'12111';(3/3);
16-08-1989;  8;13;23;30;32;40; 4;0;(4/2);'11121';(3/3);
15-08-1989; 10;16;20;26;36;40;22;0;(6/0);'02211';(3/3);
14-08-1989;  5;13;24;27;29;49;11;0;(1/5);'11301';(3/3);
13-08-1989;  3;12;22;25;39;45;36;0;(2/4);'11211';(4/2);
 9-08-1989;  4;11;23;31;46;48;15;0;(3/3);'11112';(3/3);
 8-08-1989; 12;22;23;26;38;48;46;0;(5/1);'01311';(3/3);
 7-08-1989;  2;20;26;30;40;41; 3;0;(5/1);'10212';(2/4);
 6-08-1989; 11;21;25;27;37;49;13;0;(0/6);'01311';(3/3);
 2-08-1989; 12;33;35;37;44;49;17;0;(2/4);'01032';(1/5);
 1-08-1989;  4;10;28;29;43;49;48;0;(3/3);'11202';(2/4);
31-07-1989;  2; 5;17;37;42;44;43;0;(3/3);'21012';(3/3);
30-07-1989;  2;17;29;34;36;44;24;0;(4/2);'11121';(2/4);
26-07-1989;  4;13;14;20;23;25;22;0;(3/3);'12300';(6/0);
25-07-1989; 19;20;26;31;32;49;38;0;(3/3);'01221';(2/4);
24-07-1989;  1;10;18;19;39;41;23;0;(2/4);'13011';(4/2);
23-07-1989;  3; 9;11;19;23;43;42;0;(0/6);'22101';(5/1);
19-07-1989;  6;13;14;28;36;37;32;0;(4/2);'12120';(3/3);
18-07-1989;  2; 7;12;20;34;37;42;0;(4/2);'21120';(4/2);
17-07-1989; 33;34;36;41;47;49;17;0;(2/4);'00033';(0/6);
16-07-1989; 11;13;15;25;30;48;20;0;(2/4);'03111';(4/2);
12-07-1989;  1; 5;13;27;39;44;49;0;(1/5);'21111';(3/3);
11-07-1989;  7;17;28;39;41;46;49;0;(2/4);'11112';(2/4);
10-07-1989;  6; 8;12;20;28;37; 4;0;(5/1);'21210';(4/2);
 9-07-1989;  7;14;20;35;38;42;31;0;(4/2);'11121';(3/3);
 5-07-1989;  7;23;36;37;40;41;19;0;(2/4);'10122';(2/4);
 4-07-1989; 15;17;27;29;35;49;28;0;(0/6);'02211';(2/4);
 3-07-1989;  3; 9;14;21;39;45;31;0;(1/5);'21111';(4/2);
 2-07-1989; 21;26;32;42;44;47;46;0;(4/2);'00213';(1/5);
28-06-1989; 22;24;25;26;27;38;23;0;(4/2);'00510';(3/3);
27-06-1989;  6;21;24;28;32;46;35;0;(5/1);'10311';(3/3);
26-06-1989;  9;10;12;17;24;30;37;0;(4/2);'13110';(5/1);
25-06-1989; 10;23;27;33;45;47;38;0;(1/5);'01212';(2/4);
21-06-1989; 10;12;19;20;28;33;39;0;(4/2);'03210';(4/2);
20-06-1989;  3;12;27;30;43;49;20;0;(2/4);'11112';(2/4);
19-06-1989;  7;15;17;27;43;46; 8;0;(1/5);'12102';(3/3);
18-06-1989;  9;22;36;39;40;42;41;0;(4/2);'10122';(2/4);
14-06-1989;  7;13;25;27;34;38; 1;0;(2/4);'11220';(3/3);
