
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2012

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2012;  4; 6;16;25;32;47;11;1;(4/2);'21111';(4/2);
28-12-2012; 13;31;33;35;41;46;21;3;(1/5);'01032';(1/5);
26-12-2012;  4;21;22;33;34;47; 5;4;(3/3);'10221';(3/3);
25-12-2012; 13;24;29;39;46;49;27;7;(2/4);'01212';(2/4);
24-12-2012; 16;26;31;32;39;43;23;2;(3/3);'01131';(1/5);
21-12-2012;  2; 6;15;19;42;44;17;3;(4/2);'22002';(4/2);
19-12-2012;  2;26;36;37;41;43;23;8;(3/3);'10122';(1/5);
18-12-2012; 11;25;27;31;34;40;15;9;(2/4);'01221';(2/4);
17-12-2012;  7;22;23;27;35;39;16;8;(1/5);'10320';(3/3);
14-12-2012;  2;10;13;28;35;44;33;1;(4/2);'12111';(3/3);
12-12-2012;  1;10;12;23;30;43;29;2;(3/3);'12111';(4/2);
11-12-2012;  2; 9;13;20;25;31; 6;7;(2/4);'21210';(5/1);
10-12-2012;  6;11;17;20;34;46;26;7;(4/2);'12111';(4/2);
 7-12-2012;  9;11;21;28;36;44;41;9;(3/3);'11211';(3/3);
 5-12-2012;  4; 9;10;19;21;34;33;7;(3/3);'22110';(5/1);
 4-12-2012;  2; 3; 6;12;16;49;36;7;(4/2);'32001';(5/1);
 3-12-2012;  4; 6;16;30;33;35;24;4;(4/2);'21030';(3/3);
30-11-2012;  3; 8;11;23;33;39;47;7;(1/5);'21120';(4/2);
28-11-2012;  9;16;21;34;37;41;13;6;(2/4);'11121';(3/3);
27-11-2012; 10;14;16;17;31;49;34;7;(3/3);'04011';(4/2);
26-11-2012; 19;25;28;31;34;36;21;7;(3/3);'01230';(2/4);
23-11-2012;  4;16;31;40;45;46;13;0;(4/2);'11013';(2/4);
21-11-2012;  7;12;19;26;41;49;28;0;(2/4);'12102';(3/3);
20-11-2012; 11;23;29;32;35;48;12;4;(2/4);'01221';(2/4);
19-11-2012;  3;20;23;30;32;49;38;2;(3/3);'10221';(3/3);
16-11-2012;  3;14;33;35;45;46; 2;0;(2/4);'11022';(2/4);
14-11-2012; 15;18;24;27;31;47; 2;6;(2/4);'02211';(3/3);
13-11-2012;  3;10;20;36;47;48;21;7;(4/2);'11112';(3/3);
12-11-2012; 27;31;34;37;44;48;39;6;(3/3);'00132';(0/6);
 9-11-2012;  6; 9;16;26;28;43;32;1;(4/2);'21201';(3/3);
 7-11-2012; 21;26;27;38;45;48; 6;3;(3/3);'00312';(1/5);
 6-11-2012;  7; 9;14;31;33;49;43;5;(1/5);'21021';(3/3);
 5-11-2012;  7;27;33;35;42;48;25;0;(2/4);'10122';(1/5);
 2-11-2012; 24;30;32;36;43;49;21;7;(4/2);'00132';(1/5);
31-10-2012;  2; 7;14;15;31;47;35;2;(2/4);'22011';(4/2);
30-10-2012;  1; 3;17;19;21;45;41;1;(0/6);'22101';(5/1);
29-10-2012;  5;10;12;16;27;40; 7;1;(4/2);'13101';(4/2);
26-10-2012; 10;20;22;36;41;43;33;2;(4/2);'01212';(3/3);
24-10-2012;  6; 8;10;11;15;21;24;8;(3/3);'23100';(6/0);
23-10-2012;  7; 8;10;28;35;40; 3;4;(4/2);'21111';(3/3);
22-10-2012; 16;19;20;32;42;44;40;2;(5/1);'02112';(3/3);
19-10-2012;  2; 3;20;23;44;47;25;2;(3/3);'20202';(4/2);
17-10-2012;  6;16;22;35;46;48;42;0;(5/1);'11112';(3/3);
16-10-2012;  1; 2;14;21;38;47;22;3;(3/3);'21111';(4/2);
15-10-2012;  4;12;14;21;33;34;25;6;(4/2);'12120';(4/2);
12-10-2012;  7; 8;17;18;36;43;39;5;(3/3);'22011';(4/2);
10-10-2012; 14;23;25;26;43;44;24;5;(3/3);'01302';(3/3);
 9-10-2012;  2; 8;19;28;40;47;33;2;(4/2);'21102';(3/3);
 8-10-2012; 12;22;24;37;39;47;16;5;(3/3);'01221';(3/3);
 5-10-2012;  6;12;18;36;43;48; 8;9;(5/1);'12012';(3/3);
 3-10-2012;  6;14;16;24;27;29;44;8;(4/2);'12300';(4/2);
 2-10-2012; 15;36;38;40;43;47;17;3;(3/3);'01023';(1/5);
 1-10-2012; 11;18;27;32;35;43; 8;9;(2/4);'02121';(2/4);
28-09-2012;  3;15;24;26;36;42;35;1;(4/2);'11211';(3/3);
26-09-2012;  7; 9;10;13;20;26;24;8;(3/3);'22200';(5/1);
25-09-2012;  2; 6;21;28;31;47;10;9;(3/3);'20211';(3/3);
24-09-2012;  3; 4;29;30;39;40;18;2;(3/3);'20121';(2/4);
21-09-2012; 11;16;23;37;41;44;42;5;(2/4);'02112';(3/3);
19-09-2012;  4; 9;33;38;46;48;16;9;(4/2);'20022';(2/4);
18-09-2012;  8;14;20;25;32;48;27;5;(5/1);'11211';(4/2);
17-09-2012;  3;16;19;23;27;41;24;9;(1/5);'12201';(4/2);
14-09-2012;  6;12;17;19;24;25;29;0;(3/3);'13200';(6/0);
12-09-2012;  3;10;13;14;35;41;49;7;(2/4);'13011';(4/2);
11-09-2012;  8; 9;14;22;31;42;28;8;(4/2);'21111';(4/2);
10-09-2012;  4;14;16;37;39;42;25;3;(4/2);'12021';(3/3);
 7-09-2012; 17;20;31;38;39;41;42;6;(2/4);'01131';(2/4);
 5-09-2012;  2; 4;11;19;41;49;35;0;(2/4);'22002';(4/2);
 4-09-2012;  8;10;14;17;32;42;49;5;(5/1);'13011';(4/2);
 3-09-2012; 10;16;18;20;33;37;17;1;(4/2);'03120';(4/2);
31-08-2012; 18;21;27;36;39;46;20;2;(3/3);'01221';(2/4);
29-08-2012;  9;17;18;28;29;38;45;8;(3/3);'12210';(3/3);
28-08-2012; 12;19;34;36;39;46;22;2;(4/2);'02031';(2/4);
27-08-2012; 17;25;31;38;40;49;28;9;(2/4);'01122';(2/4);
24-08-2012; 10;13;22;39;45;47;40;3;(2/4);'02112';(3/3);
22-08-2012;  2; 3; 4;12;17;41;10;7;(3/3);'32001';(5/1);
21-08-2012;  3;12;23;28;42;48;25;7;(4/2);'11202';(3/3);
20-08-2012; 15;18;25;31;32;38; 9;5;(3/3);'02130';(3/3);
17-08-2012;  1; 5;16;21;23;27; 3;1;(1/5);'21300';(5/1);
15-08-2012;  2;10;11;13;18;25;45;2;(3/3);'14100';(6/0);
14-08-2012;  1; 9;34;35;36;39;26;5;(2/4);'20040';(2/4);
13-08-2012; 10;14;16;24;26;36;33;9;(6/0);'03210';(4/2);
10-08-2012;  7; 8;11;23;35;38;10;6;(2/4);'21120';(4/2);
 8-08-2012; 12;14;26;28;41;49;30;6;(4/2);'02202';(2/4);
 7-08-2012; 12;17;18;19;22;23;42;4;(3/3);'04200';(6/0);
 6-08-2012; 12;16;28;30;39;48;29;8;(5/1);'02121';(2/4);
 3-08-2012;  1; 5;19;38;39;44;36;0;(2/4);'21021';(3/3);
 1-08-2012; 12;16;22;24;32;39; 3;8;(5/1);'02220';(4/2);
31-07-2012;  4;10;13;33;41;49;27;5;(2/4);'12012';(3/3);
30-07-2012;  1;13;14;40;43;48; 8;4;(3/3);'12003';(3/3);
