
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2019

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2019;  4;13;17;18;30;49; 5;8;(3/3);'13011';(4/2);
30-12-2019; 11;16;17;26;37;41;46;3;(2/4);'03111';(3/3);
28-12-2019;  2;12;26;30;33;44;41;1;(5/1);'11121';(2/4);
27-12-2019;  7;22;23;24;43;49;14;0;(2/4);'10302';(4/2);
26-12-2019;  6;20;22;35;38;45;28;5;(4/2);'10221';(3/3);
25-12-2019;  1;11;14;30;34;37;23;1;(3/3);'12030';(3/3);
24-12-2019;  3; 6;33;46;47;49;29;7;(2/4);'20013';(2/4);
23-12-2019; 11;21;30;35;39;40;28;3;(2/4);'01131';(2/4);
21-12-2019;  8;13;18;25;26;44;15;8;(4/2);'12201';(4/2);
20-12-2019;  4;11;15;30;40;45;38;9;(3/3);'12012';(3/3);
19-12-2019;  5;37;39;42;43;48;21;9;(2/4);'10023';(1/5);
18-12-2019; 18;24;25;26;32;45;35;6;(4/2);'01311';(3/3);
17-12-2019; 12;13;17;39;43;49;27;1;(1/5);'03012';(3/3);
16-12-2019;  4;11;20;24;26;48;31;6;(5/1);'11301';(4/2);
14-12-2019;  1; 5; 6;27;31;37; 3;7;(1/5);'30120';(3/3);
13-12-2019;  6;11;26;32;36;42;18;5;(5/1);'11121';(2/4);
12-12-2019; 15;18;41;44;45;49;11;4;(2/4);'02004';(2/4);
11-12-2019;  9;14;20;30;40;49;44;1;(4/2);'11112';(3/3);
10-12-2019; 10;11;12;20;24;36;34;2;(5/1);'03210';(5/1);
 9-12-2019;  2;20;25;28;29;45;48;4;(3/3);'10401';(3/3);
 7-12-2019; 23;30;31;37;47;49;38;2;(1/5);'00132';(1/5);
 6-12-2019;  1; 4; 7;12;14;49;24;6;(3/3);'32001';(5/1);
 5-12-2019;  5; 7; 9;11;21;27;26;2;(0/6);'31200';(5/1);
 4-12-2019; 11;19;34;35;41;44;24;0;(2/4);'02022';(2/4);
 3-12-2019;  3; 6;27;33;35;37;10;3;(1/5);'20130';(2/4);
 2-12-2019;  6; 8;10;38;42;44;11;4;(6/0);'21012';(3/3);
30-11-2019;  6;22;23;34;35;37; 7;6;(3/3);'10230';(3/3);
29-11-2019; 21;22;31;33;34;40;41;6;(3/3);'00231';(2/4);
28-11-2019; 10;11;13;15;35;47; 7;0;(1/5);'04011';(4/2);
27-11-2019;  6;16;18;33;42;44;10;3;(5/1);'12012';(3/3);
26-11-2019;  5;18;38;42;45;48;19;2;(4/2);'11013';(2/4);
25-11-2019; 13;15;27;38;40;44;29;8;(3/3);'02112';(2/4);
23-11-2019; 15;19;26;32;36;48;49;4;(4/2);'02121';(2/4);
22-11-2019;  3; 9;11;22;25;38;41;0;(2/4);'21210';(5/1);
21-11-2019;  1; 8;10;20;21;49; 3;8;(3/3);'21201';(5/1);
20-11-2019; 11;13;21;23;26;35;15;4;(1/5);'02310';(4/2);
19-11-2019;  4; 6;18;20;31;41;11;1;(4/2);'21111';(4/2);
18-11-2019;  5;21;22;29;39;41; 1;8;(1/5);'10311';(3/3);
16-11-2019; 12;18;37;41;44;46;33;9;(4/2);'02013';(2/4);
15-11-2019;  5;13;18;20;37;48;23;6;(3/3);'12111';(4/2);
14-11-2019; 10;13;16;18;25;33;24;5;(3/3);'04110';(5/1);
13-11-2019;  5;16;28;32;34;47;49;8;(4/2);'11121';(2/4);
12-11-2019; 20;26;32;35;37;39;41;8;(3/3);'00240';(1/5);
11-11-2019;  2;25;30;31;32;33; 1;7;(3/3);'10140';(2/4);
 9-11-2019;  7;14;21;45;47;48;35;2;(2/4);'11103';(3/3);
 8-11-2019;  4;34;35;36;44;45;40;0;(4/2);'10032';(1/5);
 7-11-2019; 13;14;18;21;31;43;27;2;(2/4);'03111';(4/2);
 6-11-2019;  4;14;15;39;44;47;36;0;(3/3);'12012';(3/3);
