
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1995

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
29-12-1995;  8;11;14;18;19;24;43;9;(4/2);'14100';(6/0);
27-12-1995;  9;26;32;33;35;39;42;0;(2/4);'10140';(1/5);
26-12-1995;  7;11;16;31;33;44;20;4;(2/4);'12021';(3/3);
25-12-1995;  7;11;17;19;25;33; 6;5;(0/6);'13110';(5/1);
22-12-1995;  5; 7;20;21;39;44;29;9;(2/4);'20211';(4/2);
20-12-1995;  9;12;14;21;23;34;11;8;(3/3);'12210';(5/1);
19-12-1995;  1; 4;13;27;39;46;12;2;(2/4);'21111';(3/3);
18-12-1995;  4; 5;32;43;45;47;14;9;(2/4);'20013';(2/4);
15-12-1995; 10;29;30;32;38;46;20;1;(5/1);'01131';(1/5);
13-12-1995;  5;21;26;32;39;43;11;8;(2/4);'10221';(2/4);
12-12-1995;  6;13;27;32;43;44; 3;8;(3/3);'11112';(2/4);
11-12-1995;  4;20;25;38;44;45;40;6;(4/2);'10212';(3/3);
 8-12-1995; 17;28;30;40;43;46;27;0;(4/2);'01113';(1/5);
 6-12-1995;  4;13;14;20;25;30;11;8;(4/2);'12210';(5/1);
 5-12-1995;  4;11;20;32;42;47;35;5;(4/2);'11112';(3/3);
 4-12-1995; 15;17;19;36;42;45; 4;5;(2/4);'03012';(3/3);
 1-12-1995; 11;28;38;39;45;48;40;0;(3/3);'01122';(1/5);
29-11-1995;  3; 6;11;25;26;46;33;5;(3/3);'21201';(4/2);
28-11-1995; 18;26;27;32;34;45;29;0;(4/2);'01221';(1/5);
27-11-1995;  2;16;20;21;23;46;44;8;(4/2);'11301';(5/1);
24-11-1995; 22;33;36;40;46;48;32;7;(5/1);'00123';(1/5);
22-11-1995;  4; 6;19;33;36;41;26;4;(3/3);'21021';(3/3);
21-11-1995; 10;11;24;30;34;49;48;2;(4/2);'02121';(3/3);
20-11-1995;  3; 4;16;37;39;40;38;9;(3/3);'21021';(3/3);
17-11-1995;  5;13;20;33;42;45;48;4;(2/4);'11112';(3/3);
15-11-1995;  4; 9;23;29;35;43;22;6;(1/5);'20211';(3/3);
14-11-1995; 12;13;15;39;42;47;36;1;(2/4);'03012';(3/3);
13-11-1995;  9;10;11;29;31;36;27;5;(2/4);'12120';(3/3);
10-11-1995;  3;20;22;30;37;47;16;1;(3/3);'10221';(3/3);
 8-11-1995; 34;35;36;39;44;48;19;1;(4/2);'00042';(0/6);
 7-11-1995;  9;18;23;31;36;46;38;6;(3/3);'11121';(3/3);
 6-11-1995; 10;16;25;40;45;46;41;7;(4/2);'02103';(3/3);
 3-11-1995;  1;22;27;29;33;35;32;5;(1/5);'10320';(2/4);
 1-11-1995;  2;12;18;19;34;35;47;9;(4/2);'13020';(4/2);
31-10-1995; 11;22;30;38;48;49;26;1;(4/2);'01122';(2/4);
30-10-1995;  6; 7; 8;30;42;43;48;5;(4/2);'30012';(3/3);
27-10-1995;  3;16;18;20;28;30;43;9;(5/1);'12210';(4/2);
25-10-1995;  4; 6;27;28;33;48;36;9;(4/2);'20211';(2/4);
24-10-1995;  9;12;21;33;44;49; 2;0;(2/4);'11112';(3/3);
