
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2018

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2018;  1; 4;28;31;42;49;39;8;(3/3);'20112';(2/4);
29-12-2018;  4; 5;12;13;21;40;14;0;(3/3);'22101';(5/1);
28-12-2018; 17;29;30;31;37;49; 2;4;(1/5);'01131';(1/5);
27-12-2018; 14;19;25;37;39;48; 9;1;(2/4);'02121';(3/3);
26-12-2018;  5;18;21;23;27;43;30;5;(1/5);'11301';(4/2);
25-12-2018;  1; 3;13;35;45;46;17;1;(1/5);'21012';(3/3);
24-12-2018;  7;18;19;28;37;44;23;6;(3/3);'12111';(3/3);
22-12-2018;  1;17;23;27;35;36;15;2;(1/5);'11220';(3/3);
21-12-2018;  2;12;17;33;34;38;14;0;(4/2);'12030';(3/3);
20-12-2018;  2;12;18;30;46;47;15;8;(5/1);'12012';(3/3);
19-12-2018;  8;20;28;37;40;45; 6;9;(4/2);'10212';(2/4);
18-12-2018;  1;27;32;34;37;42;16;2;(3/3);'10131';(1/5);
17-12-2018;  1; 2; 8;25;28;35;48;5;(3/3);'30210';(4/2);
15-12-2018;  1; 5;17;23;33;39;36;7;(0/6);'21120';(4/2);
14-12-2018;  1;17;25;27;43;45; 7;4;(0/6);'11202';(3/3);
13-12-2018;  5; 9;11;14;22;29; 3;7;(2/4);'22200';(5/1);
12-12-2018; 14;29;40;41;42;47;34;3;(3/3);'01104';(1/5);
11-12-2018;  7;18;20;21;33;37;45;9;(2/4);'11220';(4/2);
10-12-2018;  8; 9;10;12;30;31;22;0;(4/2);'22020';(4/2);
 8-12-2018;  1;24;25;30;33;38; 2;2;(3/3);'10230';(3/3);
 7-12-2018;  7;19;29;34;39;41; 4;1;(1/5);'11121';(2/4);
 6-12-2018;  6;17;21;27;37;47;16;4;(1/5);'11211';(3/3);
 5-12-2018;  6;14;28;29;36;37;48;4;(4/2);'11220';(2/4);
 4-12-2018;  2; 7; 9;16;17;48;49;8;(3/3);'32001';(5/1);
 3-12-2018;  5;17;19;22;25;46;38;7;(2/4);'12201';(5/1);
 1-12-2018;  9;16;18;33;38;48;34;0;(4/2);'12021';(3/3);
30-11-2018;  1;11;13;29;33;34; 3;9;(1/5);'12120';(3/3);
29-11-2018; 10;14;15;27;33;49;11;0;(2/4);'03111';(3/3);
28-11-2018;  3;16;35;36;40;49;44;5;(3/3);'11022';(2/4);
27-11-2018;  2; 3;19;23;36;47;39;5;(2/4);'21111';(4/2);
26-11-2018; 18;37;39;40;48;49;43;9;(3/3);'01023';(1/5);
24-11-2018;  1;11;30;32;39;41;15;0;(2/4);'11031';(2/4);
23-11-2018;  8;11;25;26;33;44; 1;6;(3/3);'11211';(3/3);
22-11-2018;  9;12;16;37;44;46;49;7;(4/2);'12012';(3/3);
21-11-2018;  2;16;18;29;35;48;17;9;(4/2);'12111';(3/3);
20-11-2018;  1;15;22;25;35;45;34;0;(1/5);'11211';(4/2);
19-11-2018; 19;28;32;43;47;49;11;1;(2/4);'01113';(1/5);
17-11-2018; 15;17;22;26;36;39;46;7;(3/3);'02220';(3/3);
16-11-2018;  1;16;26;29;38;41; 7;1;(3/3);'11211';(2/4);
15-11-2018;  6;11;14;29;35;45; 2;1;(2/4);'12111';(3/3);
14-11-2018;  1; 8;12;24;28;39; 2;1;(4/2);'21210';(4/2);
13-11-2018;  5;14;15;17;22;36;39;5;(3/3);'13110';(5/1);
12-11-2018;  5;13;18;27;36;46; 4;8;(3/3);'12111';(3/3);
10-11-2018;  3; 9;10;42;48;49; 8;8;(3/3);'21003';(3/3);
 9-11-2018;  2;10;22;38;41;46;42;8;(5/1);'11112';(3/3);
 8-11-2018;  1; 3;20;28;35;45;33;7;(2/4);'20211';(3/3);
 7-11-2018;  7;11;14;28;46;47;10;8;(3/3);'12102';(3/3);
