
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2002

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2002;  2; 4; 7; 9;32;39; 8;8;(3/3);'40020';(4/2);
30-12-2002;  2;27;35;39;40;41;33;8;(2/4);'10122';(1/5);
27-12-2002; 12;17;19;32;47;49;22;9;(2/4);'03012';(3/3);
25-12-2002;  1; 2; 6;27;33;36;49;5;(3/3);'30120';(3/3);
24-12-2002;  1;19;37;38;40;44;26;0;(3/3);'11022';(2/4);
23-12-2002;  2; 7;11;23;35;45;24;9;(1/5);'21111';(4/2);
20-12-2002;  4;10;22;37;43;44; 2;5;(4/2);'11112';(3/3);
18-12-2002;  1; 7;28;29;33;36;13;8;(2/4);'20220';(2/4);
17-12-2002;  7;20;21;22;24;44;32;2;(4/2);'10401';(5/1);
16-12-2002;  2; 6;10;37;41;46;30;7;(4/2);'21012';(3/3);
13-12-2002; 18;22;23;27;45;48;21;0;(3/3);'01302';(3/3);
11-12-2002;  2; 4; 5;18;19;20;33;2;(4/2);'32100';(6/0);
10-12-2002; 19;30;36;37;39;41;33;7;(2/4);'01041';(1/5);
 9-12-2002;  7;25;31;38;44;47; 2;9;(2/4);'10122';(2/4);
 6-12-2002;  2;18;20;35;44;46;10;1;(5/1);'11112';(3/3);
 4-12-2002;  3; 5; 8;20;25;26;49;5;(3/3);'30300';(5/1);
 3-12-2002; 10;17;33;38;40;49;24;9;(3/3);'02022';(2/4);
 2-12-2002;  3;13;20;21;27;33;43;0;(1/5);'11310';(4/2);
29-11-2002; 14;20;24;30;38;39; 3;4;(5/1);'01230';(3/3);
27-11-2002;  2; 7;17;21;31;42;27;3;(2/4);'21111';(4/2);
26-11-2002;  7;26;27;29;39;43;10;5;(1/5);'10311';(1/5);
25-11-2002;  1; 5; 7;17;18;27;33;4;(1/5);'32100';(5/1);
22-11-2002;  1; 2;19;22;26;41; 6;0;(3/3);'21201';(4/2);
20-11-2002;  3;13;21;24;34;37;46;1;(2/4);'11220';(4/2);
19-11-2002; 17;20;22;24;46;49;23;5;(4/2);'01302';(4/2);
18-11-2002;  1; 7; 8;17;33;43;24;9;(1/5);'31011';(4/2);
15-11-2002;  5;10;18;21;40;44;20;9;(4/2);'12102';(4/2);
13-11-2002;  2; 4; 9;14;21;40;37;1;(4/2);'31101';(5/1);
12-11-2002;  2;11;32;35;37;48;34;1;(3/3);'11031';(2/4);
11-11-2002;  5; 9;19;32;36;39;37;4;(2/4);'21030';(3/3);
 8-11-2002;  4;31;32;42;43;48;29;1;(4/2);'10023';(1/5);
 6-11-2002; 17;19;27;38;43;48; 4;4;(2/4);'02112';(2/4);
 5-11-2002; 15;21;31;33;47;48;24;2;(1/5);'01122';(2/4);
 4-11-2002;  7;14;41;42;44;49;21;7;(3/3);'11004';(2/4);
 1-11-2002;  1; 5;13;25;45;48;32;4;(1/5);'21102';(4/2);
30-10-2002;  3; 6;14;31;41;46;23;9;(3/3);'21012';(3/3);
29-10-2002; 22;24;27;29;45;46;26;9;(3/3);'00402';(2/4);
28-10-2002;  2; 4; 5;17;32;45;47;7;(3/3);'31011';(4/2);
25-10-2002; 12;18;21;34;44;48;27;6;(5/1);'02112';(3/3);
23-10-2002;  2; 5;21;40;46;48; 6;5;(4/2);'20103';(3/3);
22-10-2002;  5;10;17;20;38;43; 4;8;(3/3);'12111';(4/2);
21-10-2002;  8;24;36;37;42;48;40;3;(5/1);'10122';(2/4);
18-10-2002;  1; 4; 7;17;22;41;40;9;(2/4);'31101';(5/1);
16-10-2002; 11;15;17;26;31;42;12;4;(2/4);'03111';(3/3);
15-10-2002;  8;10;16;17;21;36;43;6;(4/2);'13110';(5/1);
14-10-2002; 17;23;27;28;34;49;19;8;(2/4);'01311';(2/4);
11-10-2002;  1; 3;18;23;35;37; 8;5;(1/5);'21120';(4/2);
 9-10-2002; 10;19;37;40;43;47;36;4;(2/4);'02013';(2/4);
 8-10-2002;  5;13;14;17;21;38; 4;6;(2/4);'13110';(5/1);
 7-10-2002;  2; 6;10;12;35;45;47;1;(4/2);'22011';(4/2);
 4-10-2002;  3; 4; 5; 8;28;33;26;8;(3/3);'40110';(4/2);
 2-10-2002;  9;13;29;32;39;45;30;2;(1/5);'11121';(2/4);
 1-10-2002;  2;10;14;15;29;40;46;9;(4/2);'13101';(4/2);
30-09-2002; 11;20;21;23;31;46; 8;0;(2/4);'01311';(4/2);
27-09-2002;  5;16;17;41;46;48;15;1;(3/3);'12003';(3/3);
25-09-2002;  8;16;22;27;29;30;46;4;(4/2);'11310';(3/3);
24-09-2002; 19;23;31;41;42;44; 6;7;(2/4);'01113';(2/4);
23-09-2002;  7;15;16;27;31;39;36;8;(1/5);'12120';(3/3);
20-09-2002; 14;17;24;38;43;46;23;8;(4/2);'02112';(3/3);
18-09-2002; 11;18;20;21;34;44; 5;1;(4/2);'02211';(4/2);
17-09-2002; 12;16;20;25;42;45;38;5;(4/2);'02202';(4/2);
16-09-2002;  5; 9;19;22;38;39; 2;9;(2/4);'21120';(4/2);
13-09-2002; 15;24;28;30;37;43; 7;3;(3/3);'01221';(2/4);
11-09-2002;  7;16;27;29;33;39;18;1;(1/5);'11220';(2/4);
10-09-2002; 10;23;37;40;41;48;31;2;(3/3);'01113';(2/4);
 9-09-2002; 17;24;26;37;38;47;14;9;(3/3);'01221';(2/4);
 6-09-2002; 14;25;32;37;47;49;27;9;(2/4);'01122';(2/4);
 4-09-2002;  2;23;30;35;47;49;11;4;(2/4);'10122';(2/4);
 3-09-2002;  7;10;13;20;27;47;25;6;(2/4);'12201';(4/2);
 2-09-2002; 11;13;20;23;46;49;30;3;(2/4);'02202';(4/2);
30-08-2002;  7;15;27;36;41;46;13;7;(2/4);'11112';(2/4);
28-08-2002; 10;13;21;32;39;44;12;4;(3/3);'02121';(3/3);
27-08-2002;  1; 5;10;19;33;35;43;5;(1/5);'22020';(4/2);
26-08-2002; 13;14;19;21;36;43;47;5;(2/4);'03111';(4/2);
23-08-2002; 12;23;29;31;42;48;41;1;(3/3);'01212';(2/4);
21-08-2002;  4; 6;14;32;37;38;30;3;(5/1);'21030';(3/3);
20-08-2002;  5; 7;18;25;28;39;35;7;(2/4);'21210';(4/2);
19-08-2002; 14;17;23;24;29;39;19;8;(2/4);'02310';(4/2);
16-08-2002;  6; 8;19;24;33;38;35;9;(4/2);'21120';(4/2);
14-08-2002;  4; 5; 6;15;37;44;26;1;(3/3);'31011';(4/2);
13-08-2002; 11;13;17;36;43;44; 6;4;(2/4);'03012';(3/3);
12-08-2002; 19;26;27;30;31;34;13;0;(3/3);'01230';(1/5);
 9-08-2002; 22;36;39;40;46;48;28;8;(5/1);'00123';(1/5);
 7-08-2002; 10;19;20;29;36;43;17;2;(3/3);'02211';(3/3);
 6-08-2002;  6;11;21;28;29;41; 1;0;(2/4);'11301';(3/3);
 5-08-2002; 10;13;15;24;33;34;22;6;(3/3);'03120';(4/2);
 2-08-2002;  7;12;25;28;32;42;23;1;(4/2);'11211';(3/3);
31-07-2002;  1;24;34;39;43;46;47;2;(3/3);'10122';(2/4);
30-07-2002;  2; 4;15;26;32;38;43;5;(5/1);'21120';(3/3);
29-07-2002;  3; 7;24;39;42;48;10;1;(3/3);'20112';(3/3);
26-07-2002;  6;13;15;42;43;48;41;6;(3/3);'12003';(3/3);
24-07-2002;  3; 5; 6;26;35;49;29;1;(2/4);'30111';(3/3);
