
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2000

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
29-12-2000;  6;15;31;34;35;45; 4;1;(2/4);'11031';(2/4);
27-12-2000;  4;16;26;34;35;37;42;3;(4/2);'11130';(2/4);
26-12-2000; 19;23;30;32;43;49; 3;5;(2/4);'01122';(2/4);
25-12-2000;  7;16;18;20;21;48;40;6;(4/2);'12201';(5/1);
22-12-2000;  4;21;23;30;35;36;15;9;(3/3);'10230';(3/3);
20-12-2000; 18;20;21;22;28;32;40;9;(5/1);'01410';(4/2);
19-12-2000;  1;24;32;36;37;49;26;7;(3/3);'10131';(2/4);
18-12-2000;  6;10;14;24;34;37;42;2;(5/1);'12120';(4/2);
15-12-2000; 12;16;20;21;31;44;37;7;(4/2);'02211';(4/2);
13-12-2000;  1;20;21;38;42;43;39;3;(3/3);'10212';(3/3);
12-12-2000;  8;18;23;33;36;40;38;5;(4/2);'11121';(3/3);
11-12-2000;  7;23;28;32;35;47;24;7;(2/4);'10221';(2/4);
 8-12-2000; 14;22;24;27;32;41;34;6;(4/2);'01311';(3/3);
 6-12-2000; 10;13;18;21;31;35;40;4;(2/4);'03120';(4/2);
 5-12-2000;  8;15;17;18;45;47;28;0;(2/4);'13002';(4/2);
 4-12-2000;  1; 7; 9;28;32;44;12;7;(3/3);'30111';(3/3);
 1-12-2000;  2; 4;12;37;43;49;30;2;(3/3);'21012';(3/3);
29-11-2000;  5;14;17;39;40;44;16;5;(3/3);'12012';(3/3);
28-11-2000;  5; 8;19;21;47;49;34;1;(1/5);'21102';(4/2);
27-11-2000;  2; 3; 4; 8;15;41; 7;8;(3/3);'41001';(5/1);
24-11-2000;  3;10;26;28;35;39;36;5;(3/3);'11220';(2/4);
22-11-2000; 13;15;19;37;43;49;32;7;(0/6);'03012';(3/3);
21-11-2000;  9;19;24;32;38;39; 4;2;(3/3);'11130';(3/3);
20-11-2000;  2; 6;17;19;24;45; 8;8;(3/3);'22101';(5/1);
17-11-2000;  9;13;14;15;25;27;26;7;(1/5);'13200';(5/1);
15-11-2000;  1; 5;31;32;42;49;45;3;(2/4);'20022';(2/4);
14-11-2000;  2; 3;14;15;23;37;48;2;(2/4);'22110';(5/1);
13-11-2000; 11;12;17;36;46;49;31;8;(3/3);'03012';(3/3);
10-11-2000;  4;11;14;36;37;44;41;6;(4/2);'12021';(3/3);
 8-11-2000;  6;11;12;25;26;32;10;7;(4/2);'12210';(4/2);
 7-11-2000; 17;23;24;34;38;49;26;9;(3/3);'01221';(3/3);
 6-11-2000; 18;23;36;41;46;48; 1;1;(4/2);'01113';(2/4);
 3-11-2000;  3; 5; 7;15;31;36;46;1;(1/5);'31020';(4/2);
 1-11-2000;  8;23;26;41;43;46; 5;4;(3/3);'10203';(2/4);
31-10-2000;  1;15;17;21;28;41;13;9;(1/5);'12201';(4/2);
