
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1996

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-1996; 10;12;31;34;36;48;44;5;(5/1);'02031';(2/4);
30-12-1996;  3;32;42;45;47;49;46;6;(2/4);'10014';(1/5);
27-12-1996;  7; 9;21;38;41;46;33;7;(2/4);'20112';(3/3);
25-12-1996; 13;15;29;36;37;40;27;4;(2/4);'02121';(2/4);
24-12-1996;  4;20;21;23;24;35;41;8;(3/3);'10410';(5/1);
23-12-1996;  7; 9;14;26;29;44;23;3;(3/3);'21201';(3/3);
20-12-1996;  8;26;30;36;39;44;27;3;(5/1);'10131';(1/5);
18-12-1996; 12;24;25;32;38;42;33;1;(5/1);'01221';(3/3);
17-12-1996;  4; 6;18;21;23;31;30;3;(3/3);'21210';(5/1);
16-12-1996;  3;16;36;42;43;44;29;0;(4/2);'11013';(2/4);
13-12-1996;  2; 6;21;22;23;45; 1;6;(3/3);'20301';(5/1);
11-12-1996;  2; 3; 4;15;33;43;44;4;(2/4);'31011';(4/2);
10-12-1996; 10;12;22;33;37;43;49;0;(3/3);'02121';(3/3);
 9-12-1996;  5;10;12;21;33;34;41;6;(3/3);'12120';(4/2);
 6-12-1996;  3;10;13;24;34;42;27;0;(4/2);'12111';(4/2);
 4-12-1996; 11;16;24;33;34;36;42;3;(4/2);'02130';(3/3);
 3-12-1996;  9;10;14;18;47;48;45;1;(4/2);'13002';(4/2);
 2-12-1996;  7;19;24;26;31;42; 1;3;(3/3);'11211';(3/3);
29-11-1996; 14;21;29;35;40;47;36;4;(2/4);'01212';(2/4);
27-11-1996;  2;12;13;16;29;37;30;7;(3/3);'13110';(4/2);
26-11-1996;  1;12;14;32;36;49;31;3;(4/2);'12021';(3/3);
25-11-1996; 19;23;26;34;36;43;44;1;(3/3);'01221';(2/4);
22-11-1996;  5; 7;11;27;35;46;40;8;(1/5);'21111';(3/3);
20-11-1996; 18;20;36;38;42;45; 8;8;(5/1);'01122';(2/4);
19-11-1996;  2;21;34;37;40;45;25;7;(3/3);'10122';(2/4);
18-11-1996; 17;25;31;32;33;39;43;2;(1/5);'01140';(2/4);
15-11-1996;  1;11;17;27;46;47;26;1;(1/5);'12102';(3/3);
13-11-1996;  1; 5;13;21;36;38;23;8;(2/4);'21120';(4/2);
12-11-1996;  7;14;21;28;41;42;46;4;(3/3);'11202';(3/3);
11-11-1996;  7; 8;22;23;30;38;45;2;(4/2);'20220';(4/2);
 8-11-1996;  1; 3; 6;17;44;46; 7;8;(3/3);'31002';(4/2);
 6-11-1996;  5; 8;14;19;39;44; 9;7;(3/3);'22011';(4/2);
 5-11-1996; 10;19;27;31;32;47;30;2;(2/4);'02121';(2/4);
 4-11-1996;  4; 8;12;26;37;49;20;5;(4/2);'21111';(3/3);
 1-11-1996;  3; 8;21;26;27;39;19;5;(2/4);'20310';(3/3);
30-10-1996;  3;16;19;32;44;48;18;7;(4/2);'12012';(3/3);
29-10-1996;  4; 5;19;23;26;48;29;3;(3/3);'21201';(4/2);
28-10-1996;  4;12;25;39;41;45;19;6;(2/4);'11112';(3/3);
25-10-1996; 11;19;25;29;40;42;41;3;(2/4);'02202';(3/3);
23-10-1996;  9;19;21;37;38;45;39;7;(1/5);'11121';(3/3);
22-10-1996; 19;23;24;25;39;45;47;3;(1/5);'01311';(4/2);
21-10-1996; 10;17;20;23;36;38;29;6;(4/2);'02220';(4/2);
18-10-1996; 12;14;26;34;35;38;30;2;(5/1);'02130';(2/4);
16-10-1996;  7;11;14;30;40;49;16;0;(3/3);'12012';(3/3);
15-10-1996;  5;14;18;26;32;41;11;4;(4/2);'12111';(3/3);
14-10-1996;  9;22;41;43;44;48;45;2;(3/3);'10104';(2/4);
11-10-1996; 14;15;18;28;30;41; 5;9;(4/2);'03111';(3/3);
 9-10-1996;  8;22;30;32;38;46; 1;9;(6/0);'10131';(2/4);
 8-10-1996;  3;10;19;20;41;42;37;3;(3/3);'12102';(4/2);
 7-10-1996;  8;12;38;43;44;49;14;9;(4/2);'11013';(2/4);
 4-10-1996;  5;13;18;19;39;44;12;6;(2/4);'13011';(4/2);
 2-10-1996;  7;15;21;30;45;47; 9;5;(1/5);'11112';(3/3);
 1-10-1996;  4; 8; 9;39;47;48;23;5;(3/3);'30012';(3/3);
30-09-1996;  3;10;14;27;30;44;24;9;(4/2);'12111';(3/3);
27-09-1996; 17;24;37;39;40;46;11;2;(3/3);'01122';(2/4);
25-09-1996; 11;14;34;35;37;43;38;9;(2/4);'02031';(2/4);
24-09-1996;  3; 6;11;20;31;37;21;7;(2/4);'21120';(4/2);
23-09-1996;  5; 6;14;17;31;37;19;1;(2/4);'22020';(4/2);
20-09-1996;  6; 9;10;26;31;32; 3;6;(4/2);'21120';(3/3);
18-09-1996;  1; 3;11;26;27;38;14;3;(2/4);'21210';(3/3);
17-09-1996;  3; 4; 9;31;34;42;46;0;(3/3);'30021';(3/3);
16-09-1996;  9;12;13;15;41;46;14;6;(2/4);'13002';(4/2);
13-09-1996; 11;17;28;42;43;48; 1;7;(3/3);'02103';(2/4);
11-09-1996; 17;18;30;35;36;39;16;9;(3/3);'02040';(2/4);
10-09-1996; 24;25;32;38;39;48; 3;5;(4/2);'00231';(2/4);
 9-09-1996;  3;11;12;20;22;24;19;2;(4/2);'12300';(6/0);
 6-09-1996; 13;23;34;38;44;46;31;2;(4/2);'01122';(2/4);
