
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 1988

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
21-12-1988;  1;22;34;36;37;45;32;0;(3/3);'10131';(2/4);
20-12-1988;  5;16;19;40;41;46;37;0;(3/3);'12003';(3/3);
19-12-1988;  9;10;25;27;44;49;20;0;(2/4);'11202';(3/3);
18-12-1988; 13;23;32;34;38;49;39;0;(3/3);'01131';(2/4);
14-12-1988;  2; 3;11;15;22;30;17;0;(3/3);'22110';(5/1);
13-12-1988;  4; 7;19;35;38;42;44;0;(3/3);'21021';(3/3);
12-12-1988; 11;26;32;35;46;48; 8;0;(4/2);'01122';(1/5);
11-12-1988;  7;15;32;36;46;47;48;0;(3/3);'11022';(2/4);
 7-12-1988;  9;19;24;34;35;41;27;0;(2/4);'11121';(3/3);
 6-12-1988;  4;29;33;39;40;44;17;0;(3/3);'10122';(1/5);
 5-12-1988;  2;17;23;24;32;33;18;0;(3/3);'11220';(4/2);
 4-12-1988;  2;31;32;33;44;49;19;0;(3/3);'10032';(1/5);
30-11-1988;  8;16;19;21;22;27;42;0;(3/3);'12300';(5/1);
29-11-1988; 14;23;32;35;37;42;19;0;(3/3);'01131';(2/4);
28-11-1988;  3; 6; 7; 9;15;26;34;0;(2/4);'41100';(5/1);
27-11-1988; 23;29;33;34;45;49;15;0;(1/5);'00222';(1/5);
23-11-1988; 11;25;28;41;42;47;24;0;(2/4);'01203';(2/4);
22-11-1988;  6; 7;17;19;27;39;44;0;(1/5);'22110';(4/2);
21-11-1988;  1;11;12;22;30;33;43;0;(3/3);'12120';(4/2);
20-11-1988; 18;32;34;43;48;49;16;0;(4/2);'01023';(1/5);
16-11-1988;  1;11;14;17;18;47;40;0;(2/4);'14001';(5/1);
15-11-1988;  6;13;21;39;47;48;29;0;(2/4);'11112';(3/3);
14-11-1988;  6; 8; 9;21;27;48;35;0;(3/3);'30201';(4/2);
13-11-1988;  1; 2; 5;20;38;43;33;0;(3/3);'30111';(4/2);
 9-11-1988;  2; 5; 6;15;19;49;37;0;(2/4);'32001';(5/1);
 8-11-1988;  3;10;13;23;24;30;25;0;(3/3);'12210';(5/1);
 7-11-1988; 11;18;27;28;32;44;36;0;(4/2);'02211';(2/4);
 6-11-1988; 11;15;16;20;27;41;40;0;(2/4);'03201';(4/2);
 2-11-1988;  8;11;14;23;44;47;29;0;(3/3);'12102';(4/2);
 1-11-1988;  2;17;21;35;46;47;24;0;(2/4);'11112';(3/3);
31-10-1988; 10;25;30;31;44;47; 2;0;(3/3);'01122';(2/4);
30-10-1988; 14;20;30;31;48;49; 9;0;(4/2);'01122';(2/4);
26-10-1988;  8;27;34;39;42;47;45;0;(3/3);'10122';(1/5);
25-10-1988;  2; 4; 9;18;39;47;23;0;(3/3);'31011';(4/2);
24-10-1988; 10;11;12;24;26;27;19;0;(4/2);'03300';(4/2);
23-10-1988;  2;10;26;28;29;49;30;0;(4/2);'11301';(2/4);
19-10-1988;  8;20;31;37;39;42;15;0;(3/3);'10131';(2/4);
18-10-1988;  4; 6;18;39;45;46; 5;0;(4/2);'21012';(3/3);
17-10-1988; 11;21;25;31;37;49;18;0;(0/6);'01221';(3/3);
16-10-1988;  2;20;24;27;32;36;34;0;(5/1);'10320';(3/3);
12-10-1988;  3;21;25;26;29;32;15;0;(2/4);'10410';(3/3);
11-10-1988;  2; 8;33;34;41;48;26;0;(4/2);'20022';(2/4);
10-10-1988;  4; 8; 9;28;41;46;25;0;(4/2);'30102';(3/3);
 9-10-1988;  2;12;30;31;39;41;33;0;(3/3);'11031';(2/4);
 5-10-1988;  2; 3;12;14;24;39;27;0;(4/2);'22110';(5/1);
 4-10-1988;  7;10;18;20;29;44;28;0;(4/2);'12201';(4/2);
 3-10-1988; 23;24;39;40;41;45;11;0;(2/4);'00213';(2/4);
 2-10-1988;  5; 7;16;29;40;49;13;0;(2/4);'21102';(3/3);
28-09-1988;  3;11;21;31;33;35;17;0;(0/6);'11130';(3/3);
27-09-1988;  4; 5;18;24;48;49;27;0;(4/2);'21102';(4/2);
26-09-1988;  2;11;29;39;44;45;10;0;(2/4);'11112';(2/4);
25-09-1988;  2; 4; 8;13;25;38;44;0;(4/2);'31110';(5/1);
21-09-1988;  6; 9;25;39;42;44;35;0;(3/3);'20112';(3/3);
20-09-1988;  8;28;29;34;37;40;18;0;(4/2);'10221';(1/5);
19-09-1988;  4;11;17;18;26;30;43;0;(4/2);'13110';(4/2);
18-09-1988; 11;17;19;28;45;49; 3;0;(1/5);'03102';(3/3);
14-09-1988;  6;13;23;35;43;45;44;0;(1/5);'11112';(3/3);
13-09-1988;  2; 9;16;31;37;44;10;0;(3/3);'21021';(3/3);
12-09-1988;  7;22;37;38;45;47;35;0;(2/4);'10122';(2/4);
11-09-1988;  8;26;27;36;45;47; 9;0;(3/3);'10212';(1/5);
 7-09-1988;  8;17;23;31;32;36;27;0;(3/3);'11130';(3/3);
 6-09-1988;  1;11;15;31;39;40;43;0;(1/5);'12021';(3/3);
 5-09-1988;  8; 9;30;44;48;49; 3;0;(4/2);'20013';(2/4);
 4-09-1988;  7;20;21;30;31;38;23;0;(3/3);'10230';(3/3);
31-08-1988;  3; 4; 8;23;26;47;24;0;(3/3);'30201';(4/2);
30-08-1988;  6; 7; 8;29;31;40;16;0;(3/3);'30111';(3/3);
29-08-1988;  4; 6; 7;13;19;32;36;0;(3/3);'32010';(5/1);
28-08-1988; 10;12;15;20;33;38;25;0;(4/2);'03120';(4/2);
24-08-1988;  5; 8;29;30;33;39;38;0;(2/4);'20130';(2/4);
23-08-1988;  2; 4;15;19;25;35;37;0;(2/4);'22110';(5/1);
22-08-1988;  3;10;16;23;33;42;38;0;(3/3);'12111';(4/2);
21-08-1988;  1; 7;18;34;38;41;27;0;(3/3);'21021';(3/3);
17-08-1988;  6;10;15;17;26;46;30;0;(4/2);'13101';(4/2);
16-08-1988;  4;10;32;34;43;46;12;0;(5/1);'11022';(2/4);
15-08-1988; 10;12;19;22;30;47; 5;0;(4/2);'03111';(4/2);
14-08-1988;  1; 2; 3;26;29;45;32;0;(2/4);'30201';(3/3);
10-08-1988;  1;10;22;26;43;47;11;0;(3/3);'11202';(3/3);
 9-08-1988; 22;26;32;39;44;46;31;0;(5/1);'00222';(1/5);
 8-08-1988; 21;27;34;44;45;47;12;0;(2/4);'00213';(1/5);
 7-08-1988;  9;19;23;26;39;48; 2;0;(2/4);'11211';(3/3);
 3-08-1988; 14;17;20;25;27;35;34;0;(2/4);'02310';(4/2);
 2-08-1988;  2; 5; 7;31;35;38;48;0;(2/4);'30030';(3/3);
 1-08-1988;  3;14;19;24;35;49;38;0;(2/4);'12111';(4/2);
31-07-1988;  6;11;14;16;35;45;19;0;(3/3);'13011';(4/2);
27-07-1988;  4;12;21;34;35;40;14;0;(4/2);'11121';(3/3);
26-07-1988; 11;16;19;32;35;42;44;0;(3/3);'03021';(3/3);
25-07-1988;  4; 5;19;30;42;45;22;0;(3/3);'21012';(3/3);
24-07-1988; 11;16;24;26;37;42;21;0;(4/2);'02211';(3/3);
20-07-1988;  1; 6;18;22;26;38;36;0;(5/1);'21210';(4/2);
19-07-1988;  5;14;20;24;29;34; 6;0;(4/2);'11310';(4/2);
18-07-1988;  1; 9;10;14;18;26;31;0;(4/2);'23100';(5/1);
17-07-1988; 10;15;22;36;45;47;19;0;(3/3);'02112';(3/3);
13-07-1988;  2;18;19;21;26;48;24;0;(4/2);'12201';(4/2);
12-07-1988;  1;12;15;18;22;43;32;0;(3/3);'13101';(5/1);
11-07-1988;  7;17;28;34;36;44;27;0;(4/2);'11121';(2/4);
10-07-1988; 12;17;36;45;47;49;39;0;(2/4);'02013';(2/4);
 6-07-1988;  2;21;37;38;39;40;47;0;(3/3);'10131';(2/4);
 5-07-1988;  1; 5;13;30;39;46;20;0;(2/4);'21021';(3/3);
 4-07-1988; 12;16;18;32;39;49;24;0;(4/2);'03021';(3/3);
 3-07-1988;  4; 7;34;41;43;49;27;0;(2/4);'20013';(2/4);
29-06-1988;  2;11;23;28;29;49; 3;0;(2/4);'11301';(3/3);
28-06-1988; 10;16;18;27;29;46;39;0;(4/2);'03201';(3/3);
27-06-1988;  2;17;24;31;40;49; 7;0;(3/3);'11112';(3/3);
26-06-1988;  9;11;14;21;43;48;25;0;(2/4);'12102';(4/2);
22-06-1988;  4; 8;10;12;39;42;32;0;(5/1);'22011';(4/2);
21-06-1988; 10;13;16;28;30;48;21;0;(5/1);'03111';(3/3);
20-06-1988;  4; 6;36;45;46;49;21;0;(4/2);'20013';(2/4);
19-06-1988;  9;12;25;37;46;47;23;0;(2/4);'11112';(3/3);
15-06-1988;  3;11;20;21;26;31; 7;0;(2/4);'11310';(4/2);
14-06-1988; 12;14;16;26;27;29;45;0;(4/2);'03300';(3/3);
13-06-1988;  9;17;18;21;22;47; 7;0;(2/4);'12201';(5/1);
12-06-1988;  3; 8;11;14;33;35; 1;0;(2/4);'22020';(4/2);
 8-06-1988;  3;18;21;33;46;48;22;0;(3/3);'11112';(3/3);
 7-06-1988;  6;10;11;14;39;47;36;0;(3/3);'13011';(4/2);
 6-06-1988; 20;28;29;31;36;41;24;0;(3/3);'00321';(1/5);
 5-06-1988;  9;31;37;39;47;48;44;0;(1/5);'10032';(1/5);
 1-06-1988; 14;20;32;38;47;49;43;0;(4/2);'01122';(2/4);
31-05-1988; 10;13;18;25;39;41;23;0;(2/4);'03111';(4/2);
30-05-1988;  1; 9;20;39;40;48; 3;0;(3/3);'20112';(3/3);
29-05-1988;  1; 6;11;21;45;47;28;0;(1/5);'21102';(4/2);
25-05-1988;  9;16;21;33;44;49; 3;0;(2/4);'11112';(3/3);
24-05-1988;  4; 7;10;15;34;35;49;0;(3/3);'22020';(4/2);
23-05-1988;  2; 6;18;25;29;36;45;0;(4/2);'21210';(4/2);
