
26/8/2021  20:8  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2001

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2001;  2; 3;24;27;28;30;48;7;(4/2);'20310';(3/3);
28-12-2001;  5;11;12;34;37;39;10;3;(2/4);'12030';(3/3);
26-12-2001;  1; 2; 3;15;24;39;17;2;(2/4);'31110';(5/1);
25-12-2001;  3; 8;22;26;48;49;32;0;(4/2);'20202';(3/3);
24-12-2001;  9;19;25;28;30;44;35;4;(3/3);'11211';(3/3);
21-12-2001;  3; 5; 7;26;34;44; 6;4;(3/3);'30111';(3/3);
19-12-2001;  2;12;37;40;43;47;27;6;(3/3);'11013';(2/4);
18-12-2001;  5;19;35;36;37;48;26;9;(2/4);'11031';(2/4);
17-12-2001;  2; 5;15;21;35;49;19;8;(1/5);'21111';(4/2);
14-12-2001;  5; 8;12;17;26;27;21;3;(3/3);'22200';(4/2);
12-12-2001; 19;20;25;27;39;49;35;8;(1/5);'01311';(3/3);
11-12-2001;  5;21;24;40;43;46; 7;5;(3/3);'10203';(3/3);
10-12-2001;  2;12;15;21;42;44; 3;6;(4/2);'12102';(4/2);
 7-12-2001;  3;11;12;24;39;42;25;8;(3/3);'12111';(4/2);
 5-12-2001;  6;21;33;34;40;46;13;0;(4/2);'10122';(2/4);
 4-12-2001;  7; 8;19;20;29;35;49;1;(2/4);'21210';(4/2);
 3-12-2001;  5; 8;16;22;36;42;37;5;(5/1);'21111';(4/2);
30-11-2001;  1; 6;13;16;23;32;49;1;(3/3);'22110';(5/1);
28-11-2001;  7;21;27;33;36;44;12;8;(2/4);'10221';(2/4);
27-11-2001;  1;14;22;31;32;34;24;3;(4/2);'11130';(3/3);
26-11-2001;  1;16;21;26;35;43; 2;8;(2/4);'11211';(3/3);
23-11-2001;  1; 5; 8;11;23;25;28;9;(1/5);'31200';(6/0);
21-11-2001; 15;24;33;37;45;46;42;2;(2/4);'01122';(2/4);
20-11-2001;  5;12;19;29;30;33; 6;7;(2/4);'12120';(3/3);
19-11-2001;  7;24;26;31;33;45;13;0;(2/4);'10221';(2/4);
16-11-2001;  2; 8;14;22;27;41;19;8;(4/2);'21201';(4/2);
14-11-2001;  9;10;17;29;36;49;41;5;(2/4);'12111';(3/3);
