
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2013

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
31-12-2013;  6;19;27;41;45;49; 2;9;(1/5);'11103';(2/4);
30-12-2013;  7;23;28;30;48;49;26;7;(3/3);'10212';(2/4);
27-12-2013;  6; 9;31;33;35;38;16;8;(2/4);'20040';(2/4);
25-12-2013;  3;10;20;32;36;48;29;9;(5/1);'11121';(3/3);
24-12-2013;  4; 7;35;42;44;45;19;4;(3/3);'20013';(2/4);
23-12-2013;  4;26;34;46;47;48;20;4;(5/1);'10113';(1/5);
20-12-2013; 18;23;29;31;42;43;28;0;(2/4);'01212';(2/4);
18-12-2013;  1;21;22;24;27;41; 4;1;(2/4);'10401';(4/2);
17-12-2013;  8; 9;20;33;40;49;47;4;(3/3);'20112';(3/3);
16-12-2013;  9;13;14;33;38;39;34;0;(2/4);'12030';(3/3);
13-12-2013;  8;16;18;21;31;47; 4;5;(3/3);'12111';(4/2);
11-12-2013;  5;13;22;25;40;44;32;9;(3/3);'11202';(4/2);
10-12-2013;  9;11;12;16;31;40;33;1;(3/3);'13011';(4/2);
 9-12-2013;  3; 4; 9;19;33;42;10;9;(2/4);'31011';(4/2);
 6-12-2013;  2; 7;12;16;17;36; 3;4;(4/2);'23010';(5/1);
 4-12-2013;  3;19;34;35;45;49;29;2;(1/5);'11022';(2/4);
 3-12-2013;  3;19;20;29;31;49;40;4;(1/5);'11211';(3/3);
 2-12-2013;  6;10;23;29;38;43;14;9;(3/3);'11211';(3/3);
29-11-2013;  7;13;15;33;38;40;18;6;(2/4);'12021';(3/3);
27-11-2013;  5;18;23;29;35;44;37;3;(2/4);'11211';(3/3);
26-11-2013; 14;35;36;42;43;48; 7;6;(4/2);'01023';(1/5);
25-11-2013;  1;21;25;28;40;49; 9;3;(2/4);'10302';(3/3);
22-11-2013;  2; 4; 9;17;18;44;46;3;(4/2);'32001';(5/1);
